YEAR,LOCATION,WEEK_NUM,STATE_ANSI,FERTILIZER,APPLICATIONS_IN_LB_FERTILIZER,APPLICATIONS_IN_LB_/_ACRE_/_APPLICATION_AVG_FERTILIZER,APPLICATIONS_IN_LB_/_ACRE_/_YEAR_AVG_FERTILIZER,APPLICATIONS_IN_NUMBER_AVG_FERTILIZER,TREATED_IN_PCT_OF_AREA_PLANTED_AVG_FERTILIZER,AREA_OPERATED_IN_ACRES,AREA_OPERATED_IN_ACRES_/_OPERATION,OPERATIONS_IN_OPERATIONS,AREA_HARVESTED_IN_ACRES,AREA_PLANTED_IN_ACRES,PRODUCTION_IN_BU,PRODUCTION_IN_$,PRICE_RECEIVED_IN_$_/_BU,CONDITION_IN_PCT_VERY_POOR,CONDITION_IN_PCT_GOOD,CONDITION_IN_PCT_FAIR,CONDITION_IN_PCT_POOR,CONDITION_IN_PCT_EXCELLENT,CONDITION_5_YEAR_AVG_IN_PCT_EXCELLENT,CONDITION_5_YEAR_AVG_IN_PCT_GOOD,CONDITION_5_YEAR_AVG_IN_PCT_POOR,CONDITION_5_YEAR_AVG_IN_PCT_VERY_POOR,CONDITION_5_YEAR_AVG_IN_PCT_FAIR,CONDITION_PREVIOUS_YEAR_IN_PCT_POOR,CONDITION_PREVIOUS_YEAR_IN_PCT_GOOD,CONDITION_PREVIOUS_YEAR_IN_PCT_VERY_POOR,CONDITION_PREVIOUS_YEAR_IN_PCT_EXCELLENT,CONDITION_PREVIOUS_YEAR_IN_PCT_FAIR,YIELD_IN_BU_/_ACRE
1996,ALABAMA,26,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,NA,49,44,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,35,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,NA,60,22,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,39,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,1,66,17,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,28,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,NA,56,33,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,32,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,NA,63,22,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,40,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,NA,68,19,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,34,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,NA,66,26,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,27,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,NA,28,69,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,41,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,NA,68,18,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,29,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,NA,42,50,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,36,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,NA,74,17,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,33,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,NA,61,20,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,37,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,NA,72,15,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,38,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,1,63,19,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,31,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,NA,63,25,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1996,ALABAMA,30,1,NA,NA,NA,NA,NA,NA,9700000,198,49000,305000,320000,10370000,76738000,7.4,NA,64,23,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
