Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1970","1970","tonnes","289623","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1971","1971","tonnes","213426","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1972","1972","tonnes","1037273","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1973","1973","tonnes","1786138","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1974","1974","tonnes","2730426","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1975","1975","tonnes","3333334","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1976","1976","tonnes","3639497","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1977","1977","tonnes","2586866","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1978","1978","tonnes","658527","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1979","1979","tonnes","638466","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1980","1980","tonnes","1548883","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1981","1981","tonnes","1449729","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1982","1982","tonnes","500804","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1983","1983","tonnes","1295095","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1984","1984","tonnes","1561110","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1985","1985","tonnes","3491476","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1986","1986","tonnes","1200151","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1987","1987","tonnes","3023651","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1988","1988","tonnes","2597364","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1989","1989","tonnes","4618003","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1990","1990","tonnes","4076804","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1991","1991","tonnes","2020437","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1992","1992","tonnes","3725980","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1993","1993","tonnes","4184704","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1994","1994","tonnes","5397589","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1995","1995","tonnes","3492525","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1996","1996","tonnes","3646934","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1997","1997","tonnes","8339590","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1998","1998","tonnes","9274752","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","1999","1999","tonnes","8917210","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2000","2000","tonnes","11517260","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2001","2001","tonnes","15675543","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2002","2002","tonnes","15970003","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2003","2003","tonnes","19890467","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2004","2004","tonnes","19247690","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2005","2005","tonnes","22435072","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2006","2006","tonnes","24957975","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2007","2007","tonnes","23733776","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2008","2008","tonnes","24499491","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2009","2009","tonnes","28562707","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2010","2010","tonnes","29073200","*","Unofficial figure"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2011","2011","tonnes","32985562","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2012","2012","tonnes","32468028","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","42796106","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2014","2014","tonnes","45692000","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2015","2015","tonnes","54324238","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2016","2016","tonnes","51581875","","Official data"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2017","2017","tonnes","68154559","","Official data"
