Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1970","1970","tonnes","11839087","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1971","1971","tonnes","11521030","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1972","1972","tonnes","11992850","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1973","1973","tonnes","13222176","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1974","1974","tonnes","13940058","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1975","1975","tonnes","12496454","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1976","1976","tonnes","15332382","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1977","1977","tonnes","16196069","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1978","1978","tonnes","20709888","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1979","1979","tonnes","20904576","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1980","1980","tonnes","21786448","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1981","1981","tonnes","21859728","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1982","1982","tonnes","25519968","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1983","1983","tonnes","22728176","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1984","1984","tonnes","19535456","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1985","1985","tonnes","17565760","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1986","1986","tonnes","21379536","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1987","1987","tonnes","21328320","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1988","1988","tonnes","17901360","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1989","1989","tonnes","15189673","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1990","1990","tonnes","15466663","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1991","1991","tonnes","17610576","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1992","1992","tonnes","19880208","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1993","1993","tonnes","19511504","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1994","1994","tonnes","18126336","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1995","1995","tonnes","22840000","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1996","1996","tonnes","25960000","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1997","1997","tonnes","26367925","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1998","1998","tonnes","20391202","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","1999","1999","tonnes","23150306","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2000","2000","tonnes","27192220","*","Unofficial figure"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2001","2001","tonnes","28933830","*","Unofficial figure"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2002","2002","tonnes","27432930","*","Unofficial figure"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2003","2003","tonnes","31019677","*","Unofficial figure"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2004","2004","tonnes","25602609","*","Unofficial figure"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2005","2005","tonnes","25657941","*","Unofficial figure"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2006","2006","tonnes","28120033","*","Unofficial figure"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2007","2007","tonnes","29840182","*","Unofficial figure"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2008","2008","tonnes","33995589","*","Unofficial figure"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2009","2009","tonnes","40505680","*","Unofficial figure"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2010","2010","tonnes","42350556","*","Unofficial figure"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2011","2011","tonnes","34310515","*","Unofficial figure"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2012","2012","tonnes","43858749","*","Unofficial figure"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","39175583","*","Unofficial figure"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2014","2014","tonnes","49608142","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2015","2015","tonnes","48216370","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2016","2016","tonnes","57769822","","Official data"
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","236","Soybeans","2017","2017","tonnes","55380025","","Official data"
