YEAR,LOCATION,FERTILIZER: (NITROGEN)APPLICATIONS in LB,"FERTILIZER: (NITROGEN)APPLICATIONS in LB / ACRE / APPLICATION, AVG","FERTILIZER: (NITROGEN)APPLICATIONS in LB / ACRE / YEAR, AVG","FERTILIZER: (NITROGEN)APPLICATIONS in NUMBER, AVG","FERTILIZER: (NITROGEN)TREATED in PCT OF AREA PLANTED, AVG",FERTILIZER: (PHOSPHATE)APPLICATIONS in LB,"FERTILIZER: (PHOSPHATE)APPLICATIONS in LB / ACRE / APPLICATION, AVG","FERTILIZER: (PHOSPHATE)APPLICATIONS in LB / ACRE / YEAR, AVG","FERTILIZER: (PHOSPHATE)APPLICATIONS in NUMBER, AVG","FERTILIZER: (POTASH)APPLICATIONS in LB / ACRE / APPLICATION, AVG","FERTILIZER: (POTASH)APPLICATIONS in LB / ACRE / YEAR, AVG","FERTILIZER: (POTASH)APPLICATIONS in NUMBER, AVG","FERTILIZER: (POTASH)TREATED in PCT OF AREA PLANTED, AVG","FERTILIZER: (SULFUR)APPLICATIONS in LB / ACRE / APPLICATION, AVG","FERTILIZER: (SULFUR)APPLICATIONS in LB / ACRE / YEAR, AVG","FERTILIZER: (SULFUR)APPLICATIONS in NUMBER, AVG","FERTILIZER: (SULFUR)TREATED in PCT OF AREA PLANTED, AVG"
1996,ARKANSAS,8200000.0,26.0,26.0,1.0,9.0,76400000.0,46.0,48.0,1.0,60.0,60.0,1.0,43.0,,,,
1996,ILLINOIS,32400000.0,22.0,22.0,1.0,15.0,128300000.0,55.0,56.0,1.0,99.0,99.0,1.0,34.0,,,,
1996,INDIANA,37900000.0,26.0,31.0,1.2,23.0,79100000.0,44.0,45.0,1.0,99.0,102.0,1.0,44.0,,,,
1996,IOWA,19500000.0,26.0,26.0,1.0,8.0,55200000.0,49.0,49.0,1.0,75.0,76.0,1.0,14.0,,,,
1996,LOUISIANA,700000.0,14.0,14.0,1.0,4.0,17100000.0,43.0,43.0,1.0,70.0,70.0,1.0,34.0,,,,
1996,MINNESOTA,9200000.0,15.0,15.0,1.0,10.0,38400000.0,47.0,47.0,1.0,69.0,69.0,1.0,10.0,,,,
1996,MISSISSIPPI,2500000.0,13.0,13.0,1.0,11.0,14000000.0,42.0,42.0,1.0,62.0,62.0,1.0,17.0,,,,
1996,MISSOURI,20500000.0,21.0,21.0,1.0,23.0,54900000.0,54.0,54.0,1.0,71.0,71.0,1.0,28.0,,,,
1996,NEBRASKA,10200000.0,12.0,12.0,1.0,28.0,64400000.0,43.0,43.0,1.0,17.0,17.0,1.0,11.0,,,,
1996,OHIO,30400000.0,28.0,34.0,1.2,20.0,50100000.0,46.0,46.0,1.0,101.0,102.0,1.0,36.0,,,,
1996,TENNESSEE,12800000.0,40.0,40.0,1.0,27.0,27500000.0,53.0,53.0,1.0,82.0,82.0,1.0,53.0,,,,
1997,ARKANSAS,9300000.0,38.0,47.0,1.2,6.0,60800000.0,53.0,58.0,1.1,60.0,66.0,1.1,30.0,,,,
1997,DELAWARE,1500000.0,18.0,19.0,1.0,37.0,3800000.0,44.0,45.0,1.0,85.0,86.0,1.0,29.0,,,,
1997,ILLINOIS,12600000.0,11.0,11.0,1.0,11.0,160300000.0,71.0,71.0,1.0,103.0,103.0,1.0,34.0,,,,
1997,INDIANA,40800000.0,39.0,48.0,1.2,16.0,65200000.0,52.0,54.0,1.0,100.0,108.0,1.1,36.0,,,,
1997,IOWA,30400000.0,18.0,18.0,1.0,16.0,129300000.0,53.0,53.0,1.0,76.0,80.0,1.0,25.0,,,,
1997,KANSAS,12100000.0,22.0,24.0,1.1,20.0,14800000.0,33.0,33.0,1.0,48.0,53.0,1.1,15.0,,,,
1997,KENTUCKY,22700000.0,50.0,55.0,1.1,32.0,36900000.0,68.0,68.0,1.0,112.0,112.0,1.0,41.0,,,,
1997,LOUISIANA,5800000.0,29.0,31.0,1.1,13.0,13800000.0,43.0,43.0,1.0,63.0,65.0,1.0,23.0,,,,
1997,MICHIGAN,21300000.0,18.0,18.0,1.0,63.0,49900000.0,54.0,54.0,1.0,71.0,75.0,1.1,71.0,,,,
1997,MINNESOTA,15200000.0,14.0,14.0,1.0,16.0,55600000.0,41.0,41.0,1.0,93.0,93.0,1.0,22.0,,,,
1997,MISSISSIPPI,5400000.0,16.0,16.0,1.0,16.0,25500000.0,53.0,53.0,1.0,88.0,88.0,1.0,26.0,,,,
1997,MISSOURI,17200000.0,24.0,24.0,1.0,15.0,60400000.0,44.0,44.0,1.0,72.0,80.0,1.1,35.0,,,,
1997,NEBRASKA,19500000.0,16.0,18.0,1.1,31.0,45900000.0,40.0,42.0,1.0,20.0,21.0,1.0,16.0,,,,
1997,NORTH CAROLINA,46700000.0,45.0,64.0,1.4,52.0,36800000.0,39.0,39.0,1.0,86.0,95.0,1.1,77.0,,,,
1997,OHIO,11900000.0,15.0,16.0,1.0,16.0,56800000.0,49.0,49.0,1.0,113.0,114.0,1.0,60.0,,,,
1997,PENNSYLVANIA,3400000.0,14.0,17.0,1.3,53.0,8700000.0,34.0,43.0,1.3,71.0,89.0,1.2,59.0,,,,
1997,SOUTH DAKOTA,43300000.0,29.0,36.0,1.2,35.0,42200000.0,36.0,36.0,1.0,23.0,23.0,1.0,18.0,,,,
1997,TENNESSEE,7400000.0,19.0,19.0,1.0,29.0,33100000.0,51.0,52.0,1.0,74.0,77.0,1.0,52.0,,,,
1997,WISCONSIN,8200000.0,14.0,16.0,1.1,53.0,11700000.0,22.0,22.0,1.0,82.0,82.0,1.0,69.0,,,,
1998,ARKANSAS,8600000.0,50.0,50.0,1.0,5.0,65300000.0,63.0,63.0,1.0,74.0,74.0,1.0,29.0,,,,
1998,ILLINOIS,17200000.0,23.0,24.0,1.0,7.0,78700000.0,60.0,60.0,1.0,124.0,124.0,1.0,24.0,,,,
1998,INDIANA,25000000.0,18.0,29.0,1.6,15.0,70400000.0,42.0,48.0,1.1,82.0,88.0,1.1,51.0,,,,
1998,IOWA,20400000.0,18.0,19.0,1.1,10.0,62100000.0,47.0,47.0,1.0,52.0,52.0,1.0,14.0,,,,
1998,KANSAS,7500000.0,16.0,19.0,1.1,16.0,16600000.0,31.0,31.0,1.0,30.0,30.0,1.0,11.0,,,,
