YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA OPERATED in ACRES","AREA OPERATED in ACRES / OPERATION","OPERATIONS in OPERATIONS"
1996,ALABAMA,01,"  ","   ",YEAR,"FARM OPERATIONS","9,700,000",198,"49,000"
1996,ALASKA,02,"  ","   ",YEAR,"FARM OPERATIONS","920,000","1,673",550
1996,ARIZONA,04,"  ","   ",YEAR,"FARM OPERATIONS","28,300,000","3,582","7,900"
1996,ARKANSAS,05,"  ","   ",YEAR,"FARM OPERATIONS","14,900,000",301,"49,500"
1996,CALIFORNIA,06,"  ","   ",YEAR,"FARM OPERATIONS","29,000,000",337,"86,000"
1996,COLORADO,08,"  ","   ",YEAR,"FARM OPERATIONS","32,500,000","1,102","29,500"
1996,CONNECTICUT,09,"  ","   ",YEAR,"FARM OPERATIONS","380,000",93,"4,100"
1996,DELAWARE,10,"  ","   ",YEAR,"FARM OPERATIONS","590,000",211,"2,800"
1996,FLORIDA,12,"  ","   ",YEAR,"FARM OPERATIONS","10,700,000",238,"45,000"
1996,GEORGIA,13,"  ","   ",YEAR,"FARM OPERATIONS","11,400,000",233,"49,000"
1996,HAWAII,15,"  ","   ",YEAR,"FARM OPERATIONS","1,440,000",267,"5,400"
1996,IDAHO,16,"  ","   ",YEAR,"FARM OPERATIONS","12,100,000",504,"24,000"
1996,ILLINOIS,17,"  ","   ",YEAR,"FARM OPERATIONS","27,900,000",353,"79,000"
1996,INDIANA,18,"  ","   ",YEAR,"FARM OPERATIONS","15,600,000",236,"66,000"
1996,IOWA,19,"  ","   ",YEAR,"FARM OPERATIONS","33,000,000",333,"99,000"
1996,KANSAS,20,"  ","   ",YEAR,"FARM OPERATIONS","47,500,000",731,"65,000"
1996,KENTUCKY,21,"  ","   ",YEAR,"FARM OPERATIONS","14,000,000",152,"92,000"
1996,LOUISIANA,22,"  ","   ",YEAR,"FARM OPERATIONS","8,300,000",277,"30,000"
1996,MAINE,23,"  ","   ",YEAR,"FARM OPERATIONS","1,310,000",182,"7,200"
1996,MARYLAND,24,"  ","   ",YEAR,"FARM OPERATIONS","2,200,000",161,"13,700"
1996,MASSACHUSETTS,25,"  ","   ",YEAR,"FARM OPERATIONS","570,000",95,"6,000"
1996,MICHIGAN,26,"  ","   ",YEAR,"FARM OPERATIONS","10,600,000",196,"54,000"
1996,MINNESOTA,27,"  ","   ",YEAR,"FARM OPERATIONS","29,200,000",356,"82,000"
1996,MISSISSIPPI,28,"  ","   ",YEAR,"FARM OPERATIONS","11,900,000",283,"42,000"
1996,MISSOURI,29,"  ","   ",YEAR,"FARM OPERATIONS","30,100,000",274,"110,000"
1996,MONTANA,30,"  ","   ",YEAR,"FARM OPERATIONS","58,500,000","2,208","26,500"
1996,NEBRASKA,31,"  ","   ",YEAR,"FARM OPERATIONS","46,400,000",829,"56,000"
1996,NEVADA,32,"  ","   ",YEAR,"FARM OPERATIONS","6,900,000","2,300","3,000"
1996,"NEW HAMPSHIRE",33,"  ","   ",YEAR,"FARM OPERATIONS","420,000",145,"2,900"
1996,"NEW JERSEY",34,"  ","   ",YEAR,"FARM OPERATIONS","840,000",88,"9,500"
1996,"NEW MEXICO",35,"  ","   ",YEAR,"FARM OPERATIONS","45,100,000","2,910","15,500"
1996,"NEW YORK",36,"  ","   ",YEAR,"FARM OPERATIONS","7,800,000",205,"38,000"
1996,"NORTH CAROLINA",37,"  ","   ",YEAR,"FARM OPERATIONS","9,500,000",161,"59,000"
1996,"NORTH DAKOTA",38,"  ","   ",YEAR,"FARM OPERATIONS","39,900,000","1,247","32,000"
