YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE","PRODUCTION in $","PRICE RECEIVED in $ / BU"
1996,ALABAMA,01,"  ","   ",YEAR,SOYBEANS,"305,000","320,000","10,370,000",34,"76,738,000"," "
1996,ALABAMA,01,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.4
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"3,500,000","3,550,000","112,000,000",32,"824,320,000"," "
1996,ARKANSAS,05,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.36
1996,DELAWARE,10,"  ","   ",YEAR,SOYBEANS,"217,000","220,000","7,595,000",35,"54,684,000"," "
1996,DELAWARE,10,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.2
1996,FLORIDA,12,"  ","   ",YEAR,SOYBEANS,"33,000","35,000","1,056,000",32,"7,392,000"," "
1996,FLORIDA,12,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7
1996,GEORGIA,13,"  ","   ",YEAR,SOYBEANS,"390,000","400,000","10,140,000",26,"69,662,000"," "
1996,GEORGIA,13,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.87
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"9,850,000","9,900,000","398,925,000",40.5,"3,011,884,000"," "
1996,ILLINOIS,17,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.55
1996,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"5,360,000","5,400,000","203,680,000",38,"1,495,011,000"," "
1996,INDIANA,18,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.34
1996,IOWA,19,"  ","   ",YEAR,SOYBEANS,"9,450,000","9,500,000","415,800,000",44,"3,060,288,000"," "
1996,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.36
1996,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"2,000,000","2,050,000","74,000,000",37,"530,580,000"," "
1996,KANSAS,20,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.17
1996,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"1,180,000","1,200,000","44,840,000",38,"333,161,000"," "
1996,KENTUCKY,21,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.43
1996,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"1,080,000","1,100,000","35,640,000",33,"265,518,000"," "
1996,LOUISIANA,22,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.45
1996,MARYLAND,24,"  ","   ",YEAR,SOYBEANS,"480,000","490,000","17,760,000",37,"126,984,000"," "
1996,MARYLAND,24,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.15
1996,MICHIGAN,26,"  ","   ",YEAR,SOYBEANS,"1,640,000","1,650,000","46,740,000",28.5,"334,191,000"," "
1996,MICHIGAN,26,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.15
1996,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"5,900,000","6,000,000","224,200,000",38,"1,627,692,000"," "
1996,MINNESOTA,27,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.26
1996,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"1,750,000","1,800,000","54,250,000",31,"398,195,000"," "
1996,MISSISSIPPI,28,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.34
1996,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"4,050,000","4,100,000","149,850,000",37,"1,092,407,000"," "
1996,MISSOURI,29,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.29
1996,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"3,010,000","3,050,000","135,450,000",45,"973,886,000"," "
1996,NEBRASKA,31,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.19
1996,"NEW JERSEY",34,"  ","   ",YEAR,SOYBEANS,"119,000","120,000","4,403,000",37,"31,041,000"," "
1996,"NEW JERSEY",34,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.05
1996,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"1,200,000","1,250,000","34,800,000",29,"246,036,000"," "
1996,"NORTH CAROLINA",37,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.07
1996,"NORTH DAKOTA",38,"  ","   ",YEAR,SOYBEANS,"845,000","850,000","24,505,000",29,"172,760,000"," "
1996,"NORTH DAKOTA",38,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.05
1996,OHIO,39,"  ","   ",YEAR,SOYBEANS,"4,490,000","4,500,000","157,150,000",35,"1,166,053,000"," "
1996,OHIO,39,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.42
1996,OKLAHOMA,40,"  ","   ",YEAR,SOYBEANS,"285,000","300,000","7,410,000",26,"50,759,000"," "
1996,OKLAHOMA,40,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.85
1996,PENNSYLVANIA,42,"  ","   ",YEAR,SOYBEANS,"285,000","290,000","11,400,000",40,"75,810,000"," "
1996,PENNSYLVANIA,42,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.65
1996,"SOUTH CAROLINA",45,"  ","   ",YEAR,SOYBEANS,"540,000","560,000","13,500,000",25,"99,900,000"," "
1996,"SOUTH CAROLINA",45,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.4
1996,"SOUTH DAKOTA",46,"  ","   ",YEAR,SOYBEANS,"2,670,000","2,700,000","90,780,000",34,"642,722,000"," "
1996,"SOUTH DAKOTA",46,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.08
1996,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"1,100,000","1,150,000","38,500,000",35,"279,125,000"," "
1996,TENNESSEE,47,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.25
1996,TEXAS,48,"  ","   ",YEAR,SOYBEANS,"270,000","290,000","7,020,000",26,"49,140,000"," "
1996,TEXAS,48,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7
1996,VIRGINIA,51,"  ","   ",YEAR,SOYBEANS,"480,000","500,000","16,320,000",34,"110,976,000"," "
1996,VIRGINIA,51,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.8
1996,WISCONSIN,55,"  ","   ",YEAR,SOYBEANS,"870,000","920,000","32,190,000",37,"233,056,000"," "
1996,WISCONSIN,55,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7.24
1997,ALABAMA,01,"  ","   ",YEAR,SOYBEANS,"340,000","350,000","8,500,000",25,"56,525,000"," "
1997,ALABAMA,01,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.65
1997,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"3,600,000","3,650,000","109,800,000",30.5,"755,424,000"," "
1997,ARKANSAS,05,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.88
1997,DELAWARE,10,"  ","   ",YEAR,SOYBEANS,"225,000","230,000","6,525,000",29,"45,675,000"," "
1997,DELAWARE,10,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7
1997,FLORIDA,12,"  ","   ",YEAR,SOYBEANS,"45,000","47,000","1,125,000",25,"7,875,000"," "
1997,FLORIDA,12,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",7
1997,GEORGIA,13,"  ","   ",YEAR,SOYBEANS,"380,000","400,000","7,980,000",21,"53,306,000"," "
1997,GEORGIA,13,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.68
1997,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"9,950,000","10,000,000","427,850,000",43,"2,806,696,000"," "
1997,ILLINOIS,17,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.56
1997,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"5,300,000","5,350,000","230,550,000",43.5,"1,519,325,000"," "
1997,INDIANA,18,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.59
1997,IOWA,19,"  ","   ",YEAR,SOYBEANS,"10,400,000","10,500,000","478,400,000",46,"3,028,272,000"," "
1997,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.33
1997,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"2,350,000","2,400,000","86,950,000",37,"558,219,000"," "
1997,KANSAS,20,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.42
1997,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"1,220,000","1,240,000","42,090,000",34.5,"284,528,000"," "
1997,KENTUCKY,21,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.76
1997,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"1,350,000","1,400,000","39,150,000",29,"273,267,000"," "
1997,LOUISIANA,22,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.98
1997,MARYLAND,24,"  ","   ",YEAR,SOYBEANS,"520,000","530,000","15,600,000",30,"107,640,000"," "
1997,MARYLAND,24,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.9
1997,MICHIGAN,26,"  ","   ",YEAR,SOYBEANS,"1,860,000","1,870,000","71,610,000",38.5,"463,317,000"," "
1997,MICHIGAN,26,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.47
1997,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"6,550,000","6,600,000","255,450,000",39,"1,583,790,000"," "
1997,MINNESOTA,27,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.2
1997,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"2,070,000","2,100,000","64,170,000",31,"442,773,000"," "
1997,MISSISSIPPI,28,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.9
1997,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"4,850,000","4,900,000","174,600,000",36,"1,115,694,000"," "
1997,MISSOURI,29,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.39
1997,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"3,550,000","3,600,000","143,775,000",40.5,"902,907,000"," "
1997,NEBRASKA,31,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.28
1997,"NEW JERSEY",34,"  ","   ",YEAR,SOYBEANS,"130,000","133,000","4,030,000",31,"27,203,000"," "
1997,"NEW JERSEY",34,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.75
1997,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"1,330,000","1,400,000","38,570,000",29,"257,648,000"," "
1997,"NORTH CAROLINA",37,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.68
1997,"NORTH DAKOTA",38,"  ","   ",YEAR,SOYBEANS,"1,140,000","1,150,000","33,630,000",29.5,"205,143,000"," "
1997,"NORTH DAKOTA",38,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.1
1997,OHIO,39,"  ","   ",YEAR,SOYBEANS,"4,340,000","4,350,000","190,960,000",44,"1,239,330,000"," "
1997,OHIO,39,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.49
1997,OKLAHOMA,40,"  ","   ",YEAR,SOYBEANS,"330,000","340,000","9,900,000",30,"63,360,000"," "
1997,OKLAHOMA,40,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.4
1997,PENNSYLVANIA,42,"  ","   ",YEAR,SOYBEANS,"370,000","375,000","13,690,000",37,"93,092,000"," "
1997,PENNSYLVANIA,42,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.8
1997,"SOUTH CAROLINA",45,"  ","   ",YEAR,SOYBEANS,"570,000","580,000","12,825,000",22.5,"84,004,000"," "
1997,"SOUTH CAROLINA",45,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.55
1997,"SOUTH DAKOTA",46,"  ","   ",YEAR,SOYBEANS,"3,250,000","3,300,000","113,750,000",35,"695,013,000"," "
1997,"SOUTH DAKOTA",46,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.11
1997,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"1,200,000","1,240,000","40,800,000",34,"281,112,000"," "
1997,TENNESSEE,47,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.89
1997,TEXAS,48,"  ","   ",YEAR,SOYBEANS,"400,000","420,000","11,200,000",28,"70,896,000"," "
1997,TEXAS,48,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.33
1997,VIRGINIA,51,"  ","   ",YEAR,SOYBEANS,"490,000","510,000","11,270,000",23,"69,874,000"," "
1997,VIRGINIA,51,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.2
1997,WISCONSIN,55,"  ","   ",YEAR,SOYBEANS,"1,000,000","1,040,000","44,000,000",44,"280,720,000"," "
1997,WISCONSIN,55,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",6.38
1998,ALABAMA,01,"  ","   ",YEAR,SOYBEANS,"320,000","340,000","7,040,000",22,"37,312,000"," "
1998,ALABAMA,01,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.3
1998,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"3,400,000","3,550,000","85,000,000",25,"457,300,000"," "
1998,ARKANSAS,05,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.38
1998,DELAWARE,10,"  ","   ",YEAR,SOYBEANS,"216,000","220,000","7,128,000",33,"37,850,000"," "
1998,DELAWARE,10,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.31
1998,FLORIDA,12,"  ","   ",YEAR,SOYBEANS,"30,000","35,000","690,000",23,"3,588,000"," "
1998,FLORIDA,12,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.2
1998,GEORGIA,13,"  ","   ",YEAR,SOYBEANS,"220,000","300,000","4,620,000",21,"24,209,000"," "
1998,GEORGIA,13,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.24
1998,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"10,550,000","10,600,000","464,200,000",44,"2,325,642,000"," "
1998,ILLINOIS,17,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.01
1998,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"5,500,000","5,600,000","231,000,000",42,"1,166,550,000"," "
1998,INDIANA,18,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.05
1998,IOWA,19,"  ","   ",YEAR,SOYBEANS,"10,350,000","10,400,000","496,800,000",48,"2,379,672,000"," "
1998,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.79
1998,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"2,500,000","2,550,000","75,000,000",30,"373,500,000"," "
1998,KANSAS,20,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.98
1998,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"1,200,000","1,220,000","36,000,000",30,"185,400,000"," "
1998,KENTUCKY,21,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.15
1998,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"1,070,000","1,200,000","22,470,000",21,"126,281,000"," "
1998,LOUISIANA,22,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.62
1998,MARYLAND,24,"  ","   ",YEAR,SOYBEANS,"460,000","470,000","14,260,000",31,"74,295,000"," "
1998,MARYLAND,24,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.21
1998,MICHIGAN,26,"  ","   ",YEAR,SOYBEANS,"1,890,000","1,900,000","73,710,000",39,"367,813,000"," "
1998,MICHIGAN,26,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.99
1998,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"6,800,000","6,900,000","285,600,000",42,"1,328,040,000"," "
1998,MINNESOTA,27,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",4.65
1998,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"2,000,000","2,050,000","48,000,000",24,"270,240,000"," "
1998,MISSISSIPPI,28,"  ","   ","MARKETING YEAR",SOYBEANS," "," "," "," "," ",5.63
