YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"CONDITION in PCT VERY POOR","CONDITION in PCT GOOD","CONDITION in PCT FAIR","CONDITION in PCT POOR","CONDITION in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT GOOD","CONDITION, 5 YEAR AVG in PCT POOR","CONDITION, 5 YEAR AVG in PCT VERY POOR","CONDITION, 5 YEAR AVG in PCT FAIR","CONDITION, PREVIOUS YEAR in PCT POOR","CONDITION, PREVIOUS YEAR in PCT GOOD","CONDITION, PREVIOUS YEAR in PCT VERY POOR","CONDITION, PREVIOUS YEAR in PCT EXCELLENT","CONDITION, PREVIOUS YEAR in PCT FAIR"
1996,ALABAMA,01,"  ","   ","WEEK #26",SOYBEANS," ",49,44,2,5," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #27",SOYBEANS," ",28,69,2,1," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #28",SOYBEANS," ",56,33,3,8," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #29",SOYBEANS," ",42,50,3,5," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #30",SOYBEANS," ",64,23,2,11," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #31",SOYBEANS," ",63,25,2,10," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #32",SOYBEANS," ",63,22,2,13," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #33",SOYBEANS," ",61,20,2,17," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #34",SOYBEANS," ",66,26,1,7," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #35",SOYBEANS," ",60,22,3,15," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #36",SOYBEANS," ",74,17,2,7," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #37",SOYBEANS," ",72,15,3,10," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #38",SOYBEANS,1,63,19,3,14," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #39",SOYBEANS,1,66,17,2,14," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #40",SOYBEANS," ",68,19,4,9," "," "," "," "," "," "," "," "," "," "
1996,ALABAMA,01,"  ","   ","WEEK #41",SOYBEANS," ",68,18,5,9," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #26",SOYBEANS," ",64,20,5,11," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #27",SOYBEANS,1,54,26,7,12," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #28",SOYBEANS,2,46,30,9,13," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #29",SOYBEANS,4,45,27,12,12," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #30",SOYBEANS,3,43,31,13,10," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #31",SOYBEANS,4,45,29,10,12," "," "," "," "," "," "," "," "," "," "
1996,ARKANSAS,05,"  ","   ","WEEK #32",SOYBEANS,3,45,27,11,14," "," "," "," "," "," "," "," "," "," "
