YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,DOMAINCAT,"APPLICATIONS in LB","APPLICATIONS in LB / ACRE / APPLICATION, AVG","APPLICATIONS in LB / ACRE / YEAR, AVG","APPLICATIONS in NUMBER, AVG","TREATED in PCT OF AREA PLANTED, AVG"
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","8,200,000",26,26,1,9
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","76,400,000",46,48,1,45
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","90,500,000",60,60,1,43
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","32,400,000",22,22,1,15
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","128,300,000",55,56,1,23
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","329,600,000",99,99,1,34
1996,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","37,900,000",26,31,1.2,23
1996,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","79,100,000",44,45,1,33
1996,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","240,700,000",99,102,1,44
1996,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","19,500,000",26,26,1,8
1996,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","55,200,000",49,49,1,12
1996,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","99,300,000",75,76,1,14
1996,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","700,000",14,14,1,4
1996,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","17,100,000",43,43,1,36
1996,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","26,000,000",70,70,1,34
1996,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","9,200,000",15,15,1,10
1996,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","38,400,000",47,47,1,14
1996,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","42,900,000",69,69,1,10
1996,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","2,500,000",13,13,1,11
1996,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","14,000,000",42,42,1,18
1996,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","19,400,000",62,62,1,17
1996,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","20,500,000",21,21,1,23
1996,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","54,900,000",54,54,1,25
1996,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","81,300,000",71,71,1,28
1996,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","10,200,000",12,12,1,28
1996,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","64,400,000",43,43,1,50
1996,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","5,300,000",17,17,1,11
1996,OHIO,39,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","30,400,000",28,34,1.2,20
1996,OHIO,39,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","50,100,000",46,46,1,24
1996,OHIO,39,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","164,800,000",101,102,1,36
1996,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","12,800,000",40,40,1,27
1996,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","27,500,000",53,53,1,43
1996,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","51,500,000",82,82,1,53
1997,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","9,300,000",38,47,1.2,6
1997,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","60,800,000",53,58,1.1,29
1997,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","71,400,000",60,66,1.1,30
1997,DELAWARE,10,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","1,500,000",18,19,1,37
1997,DELAWARE,10,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","3,800,000",44,45,1,38
1997,DELAWARE,10,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","5,700,000",85,86,1,29
1997,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","12,600,000",11,11,1,11
1997,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","160,300,000",71,71,1,23
1997,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","352,500,000",103,103,1,34
1997,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","40,800,000",39,48,1.2,16
1997,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","65,200,000",52,54,1,22
1997,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","213,000,000",100,108,1.1,36
1997,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","30,400,000",18,18,1,16
1997,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","129,300,000",53,53,1,23
1997,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","205,400,000",76,80,1,25
1997,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","12,100,000",22,24,1.1,20
1997,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","14,800,000",33,33,1,18
1997,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","18,900,000",48,53,1.1,15
1997,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","22,700,000",50,55,1.1,32
1997,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","36,900,000",68,68,1,42
1997,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","59,400,000",112,112,1,41
1997,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","5,800,000",29,31,1.1,13
1997,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","13,800,000",43,43,1,23
1997,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","21,300,000",63,65,1,23
1997,MICHIGAN,26,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","21,300,000",18,18,1,63
1997,MICHIGAN,26,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","49,900,000",54,54,1,49
1997,MICHIGAN,26,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","100,900,000",71,75,1.1,71
1997,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","15,200,000",14,14,1,16
1997,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","55,600,000",41,41,1,20
1997,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","141,500,000",93,93,1,22
1997,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","5,400,000",16,16,1,16
1997,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","25,500,000",53,53,1,23
1997,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","48,400,000",88,88,1,26
1997,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","17,200,000",24,24,1,15
1997,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","60,400,000",44,44,1,28
1997,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","136,200,000",72,80,1.1,35
1997,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","19,500,000",16,18,1.1,31
1997,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","45,900,000",40,42,1,31
1997,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","11,300,000",20,21,1,16
1997,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","46,700,000",45,64,1.4,52
1997,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","36,800,000",39,39,1,67
1997,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","103,300,000",86,95,1.1,77
1997,OHIO,39,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","11,900,000",15,16,1,16
1997,OHIO,39,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","56,800,000",49,49,1,26
1997,OHIO,39,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","308,400,000",113,114,1,60
1997,PENNSYLVANIA,42,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","3,400,000",14,17,1.3,53
1997,PENNSYLVANIA,42,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","8,700,000",34,43,1.3,55
1997,PENNSYLVANIA,42,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","19,500,000",71,89,1.2,59
1997,"SOUTH DAKOTA",46,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","43,300,000",29,36,1.2,35
1997,"SOUTH DAKOTA",46,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","42,200,000",36,36,1,34
1997,"SOUTH DAKOTA",46,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","14,500,000",23,23,1,18
1997,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","7,400,000",19,19,1,29
1997,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","33,100,000",51,52,1,48
1997,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","52,600,000",74,77,1,52
1997,WISCONSIN,55,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","8,200,000",14,16,1.1,53
1997,WISCONSIN,55,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","11,700,000",22,22,1,54
1997,WISCONSIN,55,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","56,000,000",82,82,1,69
1998,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","8,600,000",50,50,1,5
1998,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","65,300,000",63,63,1,29
1998,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","75,400,000",74,74,1,29
1998,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","17,200,000",23,24,1,7
1998,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","78,700,000",60,60,1,12
1998,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","321,400,000",124,124,1,24
1998,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","25,000,000",18,29,1.6,15
1998,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","70,400,000",42,48,1.1,26
1998,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","255,300,000",82,88,1.1,51
1998,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","20,400,000",18,19,1.1,10
1998,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","62,100,000",47,47,1,13
1998,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","79,000,000",52,52,1,14
1998,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","7,500,000",16,19,1.1,16
1998,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","16,600,000",31,31,1,21
1998,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","8,300,000",30,30,1,11
1998,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","17,000,000",34,40,1.2,35
1998,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","58,900,000",83,83,1,58
1998,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","73,300,000",96,96,1,63
1998,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","400,000",13,13,1,3
1998,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","12,000,000",40,40,1,25
1998,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","19,400,000",62,63,1,26
1998,MICHIGAN,26,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","24,300,000",18,18,1,72
1998,MICHIGAN,26,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","54,600,000",39,39,1,73
1998,MICHIGAN,26,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","99,500,000",63,70,1.1,75
1998,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","27,500,000",21,23,1.1,18
1998,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","38,100,000",33,33,1,17
1998,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","33,100,000",56,56,1,9
1998,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","2,100,000",19,19,1,6
1998,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","10,000,000",47,47,1,10
1998,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","23,200,000",72,72,1,16
1998,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","25,900,000",21,21,1,24
1998,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","119,800,000",50,50,1,47
1998,MISSOURI,29,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","198,200,000",73,73,1,53
1998,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","12,100,000",14,15,1.1,22
1998,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","27,000,000",37,37,1,19
1998,NEBRASKA,31,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","7,300,000",22,25,1.2,8
1998,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","12,400,000",23,24,1,36
1998,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","19,400,000",38,38,1,34
1998,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","47,300,000",83,83,1,39
1998,OHIO,39,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","16,500,000",15,20,1.3,19
1998,OHIO,39,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","71,900,000",54,57,1.1,29
1998,OHIO,39,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","179,300,000",92,97,1.1,42
1998,"SOUTH DAKOTA",46,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","29,700,000",27,27,1,32
1998,"SOUTH DAKOTA",46,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","38,100,000",35,35,1,32
1998,"SOUTH DAKOTA",46,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","2,900,000",8,8,1,11
1998,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","4,500,000",18,18,1,19
1998,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","20,700,000",46,46,1,36
1998,TENNESSEE,47,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","29,400,000",61,61,1,39
1999,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","17,300,000",27,29,1,17
1999,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","78,000,000",51,52,1,43
1999,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","90,000,000",64,66,1,40
1999,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","16,200,000",18,20,1.1,7
1999,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","64,100,000",45,45,1,14
1999,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","304,000,000",102,103,1,28
1999,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","33,600,000",21,21,1,28
1999,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","105,300,000",52,53,1,36
1999,INDIANA,18,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","219,800,000",107,110,1,36
1999,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","23,500,000",27,30,1.1,7
1999,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","103,500,000",55,55,1,17
1999,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","173,700,000",72,72,1,22
1999,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","14,900,000",22,23,1,22
1999,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","19,400,000",30,30,1,22
1999,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","7,600,000",18,18,1,15
1999,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","4,800,000",23,23,1,17
1999,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","18,300,000",60,61,1,25
1999,KENTUCKY,21,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","24,200,000",78,79,1,26
1999,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","1,400,000",25,25,1,5
1999,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","7,200,000",52,52,1,14
1999,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","6,800,000",60,60,1,11
