YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,DOMAINCAT,"APPLICATIONS in LB","APPLICATIONS in LB / ACRE / APPLICATION, AVG","APPLICATIONS in LB / ACRE / YEAR, AVG","APPLICATIONS in NUMBER, AVG","TREATED in PCT OF AREA PLANTED, AVG"
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (ACIFLUORFEN, SODIUM = 114402)","349,000",0.26,0.27,1,36
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (BENTAZON = 103901)","646,000",0.57,0.61,1.1,30
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (CHLORIMURON-ETHYL = 128901)","10,000",0.02,0.02,1,14
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (CLETHODIM = 121011)","40,000",0.1,0.1,1,12
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (FLUAZIFOP-P-BUTYL = 122809)","35,000",0.12,0.12,1,8
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (FOMESAFEN SODIUM = 123802)","80,000",0.29,0.29,1,8
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (GLYPHOSATE = 417300)","492,000",0.62,0.94,1.5,15
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (IMAZAQUIN = 128848)","54,000",0.06,0.07,1,23
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)","896,000",1.54,1.54,1,16
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)","401,000",0.53,0.73,1.4,15
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","368,000",0.86,0.86,1,12
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (QUIZALOFOP-ETHYL = 128711)","12,000",0.07,0.07,1,5
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (SETHOXYDIM = 121001)","110,000",0.43,0.43,1,7
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (TOTAL)","4,491,000"," "," "," ",92
1996,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (TRIFLURALIN = 36101)","725,000",0.81,0.81,1,25
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (2,4-D = 30001)","1,048,000",0.43,0.43,1,25
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (ACIFLUORFEN, SODIUM = 114402)","43,000",0.16,0.17,1,3
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (BENTAZON = 103901)","409,000",0.72,0.76,1.1,5
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (CHLORIMURON-ETHYL = 128901)","22,000",0.02,0.02,1.1,13
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (CLETHODIM = 121011)","85,000",0.09,0.09,1,10
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (FOMESAFEN SODIUM = 123802)","165,000",0.31,0.31,1,5
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (GLYPHOSATE = 417300)","1,678,000",0.56,0.57,1,30
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (IMAZAQUIN = 128848)","123,000",0.08,0.08,1,15
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (IMAZETHAPYR = 128922)","340,000",0.06,0.06,1,57
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (LACTOFEN = 128888)","83,000",0.09,0.09,1,9
1996,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)","186,000",1.64,1.64,1,1
