YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,DOMAINCAT,"APPLICATIONS in LB","APPLICATIONS in LB / ACRE / APPLICATION, AVG","APPLICATIONS in LB / ACRE / YEAR, AVG","APPLICATIONS in NUMBER, AVG","TREATED in PCT OF AREA PLANTED, AVG"
1996,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (METHYL PARATHION = 53501)","152,000",0.4,0.49,1.2,28
1996,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (TOTAL)","161,000"," "," "," ",32
1997,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (LAMBDA-CYHALOTHRIN = 128897)","1,000",0.02,0.02,1,3
1997,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (METHYL PARATHION = 53501)","254,000",0.51,0.77,1.5,24
1997,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (THIODICARB = 114501)","34,000",0.4,0.46,1.2,5
1997,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (TOTAL)","331,000"," "," "," ",29
1997,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (METHYL PARATHION = 53501)","19,000",0.37,0.39,1.1,2
1997,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (LAMBDA-CYHALOTHRIN = 128897)","2,000",0.02,0.02,1,9
1997,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (TOTAL)","130,000"," "," "," ",35
1998,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (TOTAL)","37,000"," "," "," ",4
1998,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (LAMBDA-CYHALOTHRIN = 128897)","1,000",0.02,0.02,1,4
1998,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (METHYL PARATHION = 53501)","184,000",0.47,0.58,1.2,26
1998,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (THIODICARB = 114501)","28,000",0.18,0.19,1,12
1998,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (TOTAL)","217,000"," "," "," ",32
1998,MISSISSIPPI,28,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (TOTAL)","33,000"," "," "," ",6
1998,"NORTH CAROLINA",37,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (TOTAL)","20,000"," "," "," ",3
1999,ARKANSAS,05,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (TOTAL)","17,000"," "," "," ",9
1999,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (TOTAL)","20,000"," "," "," "," "
1999,KANSAS,20,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (TOTAL)","1,000"," "," "," "," "
1999,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (METHYL PARATHION = 53501)","162,000",0.46,0.5,1,32
1999,LOUISIANA,22,"  ","   ",YEAR,SOYBEANS,"CHEMICAL, INSECTICIDE: (THIODICARB = 114501)","59,000",0.39,0.4,1,14
