LOCATION,YEAR,MONTH,Avg_Temperature,Anomaly
ALABAMA,1996,01,43.5,-1.4
ALABAMA,1996,02,47.3,-1.4
ALABAMA,1996,03,50.9,-5.5
ALABAMA,1996,04,60.0,-3.4
ALABAMA,1996,05,73.0,1.9
ALABAMA,1996,06,76.7,-1.3
ALABAMA,1996,07,79.6,-0.7
ALABAMA,1996,08,77.9,-2.0
ALABAMA,1996,09,72.1,-2.9
ALABAMA,1996,10,62.7,-1.8
ALABAMA,1996,11,52.7,-1.5
ALABAMA,1996,12,49.1,1.5
ALABAMA,1997,01,45.9,1.0
ALABAMA,1997,02,50.8,2.1
ALABAMA,1997,03,61.2,4.8
ALABAMA,1997,04,58.8,-4.6
ALABAMA,1997,05,67.2,-3.9
ALABAMA,1997,06,74.0,-4.0
ALABAMA,1997,07,80.1,-0.2
ALABAMA,1997,08,77.7,-2.2
ALABAMA,1997,09,74.8,-0.2
ALABAMA,1997,10,63.1,-1.4
ALABAMA,1997,11,50.0,-4.2
ALABAMA,1997,12,44.8,-2.8
ALABAMA,1998,01,47.8,2.9
ALABAMA,1998,02,49.2,0.5
ALABAMA,1998,03,53.4,-3.0
ALABAMA,1998,04,61.6,-1.8
ALABAMA,1998,05,73.6,2.5
ALABAMA,1998,06,80.7,2.7
ALABAMA,1998,07,81.8,1.5
ALABAMA,1998,08,79.9,0.0
ALABAMA,1998,09,77.4,2.4
ALABAMA,1998,10,66.8,2.3
ALABAMA,1998,11,57.9,3.7
ALABAMA,1998,12,51.4,3.8
ALABAMA,1999,01,49.4,4.5
ALABAMA,1999,02,51.8,3.1
ALABAMA,1999,03,52.8,-3.6
ALABAMA,1999,04,67.1,3.7
ALABAMA,1999,05,69.5,-1.6
ALABAMA,1999,06,76.7,-1.3
ALABAMA,1999,07,80.5,0.2
ALABAMA,1999,08,81.8,1.9
ALABAMA,1999,09,73.3,-1.7
ALABAMA,1999,10,63.6,-0.9
ALABAMA,1999,11,56.2,2.0
ALABAMA,1999,12,47.0,-0.6
ALABAMA,2000,01,46.5,1.6
ALABAMA,2000,02,52.3,3.6
ALABAMA,2000,03,58.9,2.5
ALABAMA,2000,04,60.1,-3.3
ALABAMA,2000,05,74.0,2.9
ALABAMA,2000,06,77.6,-0.4
ALABAMA,2000,07,81.9,1.6
ALABAMA,2000,08,81.0,1.1
ALABAMA,2000,09,73.9,-1.1
ALABAMA,2000,10,64.6,0.1
ALABAMA,2000,11,52.8,-1.4
ALABAMA,2000,12,39.2,-8.4
ALABAMA,2001,01,41.2,-3.7
ALABAMA,2001,02,52.6,3.9
ALABAMA,2001,03,51.4,-5.0
ALABAMA,2001,04,64.7,1.3
ALABAMA,2001,05,70.6,-0.5
ALABAMA,2001,06,75.8,-2.2
ALABAMA,2001,07,79.7,-0.6
ALABAMA,2001,08,78.5,-1.4
ALABAMA,2001,09,71.9,-3.1
ALABAMA,2001,10,60.6,-3.9
ALABAMA,2001,11,58.8,4.6
ALABAMA,2001,12,50.6,3.0
ALABAMA,2002,01,46.8,1.9
ALABAMA,2002,02,46.0,-2.7
ALABAMA,2002,03,55.0,-1.4
ALABAMA,2002,04,66.4,3.0
ALABAMA,2002,05,70.2,-0.9
ALABAMA,2002,06,77.2,-0.8
ALABAMA,2002,07,80.3,0.0
ALABAMA,2002,08,79.7,-0.2
ALABAMA,2002,09,77.3,2.3
ALABAMA,2002,10,67.8,3.3
ALABAMA,2002,11,51.0,-3.2
ALABAMA,2002,12,45.2,-2.4
ALABAMA,2003,01,40.0,-4.9
ALABAMA,2003,02,48.0,-0.7
ALABAMA,2003,03,57.6,1.2
ALABAMA,2003,04,63.3,-0.1
ALABAMA,2003,05,71.6,0.5
ALABAMA,2003,06,75.6,-2.4
ALABAMA,2003,07,78.5,-1.8
ALABAMA,2003,08,79.4,-0.5
ALABAMA,2003,09,73.1,-1.9
ALABAMA,2003,10,63.5,-1.0
ALABAMA,2003,11,58.2,4.0
ALABAMA,2003,12,44.0,-3.6
ALABAMA,2004,01,44.2,-0.7
ALABAMA,2004,02,45.4,-3.3
ALABAMA,2004,03,59.0,2.6
ALABAMA,2004,04,61.2,-2.2
ALABAMA,2004,05,72.7,1.6
ALABAMA,2004,06,76.8,-1.2
ALABAMA,2004,07,79.2,-1.1
ALABAMA,2004,08,76.3,-3.6
ALABAMA,2004,09,73.8,-1.2
ALABAMA,2004,10,68.5,4.0
ALABAMA,2004,11,57.8,3.6
ALABAMA,2004,12,45.1,-2.5
ALABAMA,2005,01,49.2,4.3
ALABAMA,2005,02,51.2,2.5
ALABAMA,2005,03,53.5,-2.9
ALABAMA,2005,04,61.0,-2.4
ALABAMA,2005,05,68.3,-2.8
ALABAMA,2005,06,76.7,-1.3
ALABAMA,2005,07,80.4,0.1
ALABAMA,2005,08,80.5,0.6
ALABAMA,2005,09,76.9,1.9
ALABAMA,2005,10,63.8,-0.7
ALABAMA,2005,11,55.8,1.6
ALABAMA,2005,12,43.4,-4.2
ALABAMA,2006,01,51.1,6.2
ALABAMA,2006,02,46.1,-2.6
ALABAMA,2006,03,56.1,-0.3
ALABAMA,2006,04,67.5,4.1
ALABAMA,2006,05,70.4,-0.7
ALABAMA,2006,06,78.1,0.1
ALABAMA,2006,07,81.9,1.6
ALABAMA,2006,08,82.3,2.4
ALABAMA,2006,09,72.8,-2.2
ALABAMA,2006,10,61.9,-2.6
ALABAMA,2006,11,52.8,-1.4
ALABAMA,2006,12,49.4,1.8
ALABAMA,2007,01,46.7,1.8
ALABAMA,2007,02,44.8,-3.9
ALABAMA,2007,03,60.0,3.6
ALABAMA,2007,04,60.0,-3.4
ALABAMA,2007,05,71.2,0.1
ALABAMA,2007,06,78.8,0.8
ALABAMA,2007,07,79.2,-1.1
ALABAMA,2007,08,84.4,4.5
ALABAMA,2007,09,76.0,1.0
ALABAMA,2007,10,66.5,2.0
ALABAMA,2007,11,53.6,-0.6
ALABAMA,2007,12,51.6,4.0
ALABAMA,2008,01,43.0,-1.9
ALABAMA,2008,02,49.2,0.5
ALABAMA,2008,03,55.2,-1.2
ALABAMA,2008,04,62.8,-0.6
ALABAMA,2008,05,70.3,-0.8
ALABAMA,2008,06,78.7,0.7
ALABAMA,2008,07,80.0,-0.3
ALABAMA,2008,08,78.4,-1.5
ALABAMA,2008,09,74.5,-0.5
ALABAMA,2008,10,62.2,-2.3
ALABAMA,2008,11,51.0,-3.2
ALABAMA,2008,12,49.7,2.1
ALABAMA,2009,01,45.3,0.4
ALABAMA,2009,02,48.2,-0.5
ALABAMA,2009,03,57.3,0.9
ALABAMA,2009,04,61.4,-2.0
ALABAMA,2009,05,71.2,0.1
ALABAMA,2009,06,79.4,1.4
ALABAMA,2009,07,78.1,-2.2
ALABAMA,2009,08,78.0,-1.9
ALABAMA,2009,09,75.0,0.0
ALABAMA,2009,10,62.8,-1.7
ALABAMA,2009,11,53.4,-0.8
ALABAMA,2009,12,44.8,-2.8
ALABAMA,2010,01,40.0,-4.9
ALABAMA,2010,02,40.6,-8.1
ALABAMA,2010,03,51.2,-5.2
ALABAMA,2010,04,64.2,0.8
ALABAMA,2010,05,73.3,2.2
ALABAMA,2010,06,80.9,2.9
ALABAMA,2010,07,82.6,2.3
ALABAMA,2010,08,83.0,3.1
ALABAMA,2010,09,76.9,1.9
ALABAMA,2010,10,64.3,-0.2
ALABAMA,2010,11,55.2,1.0
ALABAMA,2010,12,40.3,-7.3
ALABAMA,2011,01,41.1,-3.8
ALABAMA,2011,02,49.5,0.8
ALABAMA,2011,03,57.8,1.4
ALABAMA,2011,04,65.7,2.3
ALABAMA,2011,05,69.9,-1.2
ALABAMA,2011,06,81.2,3.2
ALABAMA,2011,07,81.7,1.4
ALABAMA,2011,08,81.8,1.9
ALABAMA,2011,09,72.1,-2.9
ALABAMA,2011,10,60.6,-3.9
ALABAMA,2011,11,55.3,1.1
ALABAMA,2011,12,49.3,1.7
ALABAMA,2012,01,50.1,5.2
ALABAMA,2012,02,52.1,3.4
ALABAMA,2012,03,64.6,8.2
ALABAMA,2012,04,65.0,1.6
ALABAMA,2012,05,73.4,2.3
ALABAMA,2012,06,76.8,-1.2
ALABAMA,2012,07,81.6,1.3
ALABAMA,2012,08,78.1,-1.8
ALABAMA,2012,09,73.0,-2.0
ALABAMA,2012,10,62.2,-2.3
ALABAMA,2012,11,51.2,-3.0
ALABAMA,2012,12,50.9,3.3
ALABAMA,2013,01,50.0,5.1
ALABAMA,2013,02,48.0,-0.7
ALABAMA,2013,03,49.8,-6.6
ALABAMA,2013,04,62.2,-1.2
ALABAMA,2013,05,68.2,-2.9
ALABAMA,2013,06,78.0,0.0
ALABAMA,2013,07,77.7,-2.6
ALABAMA,2013,08,77.9,-2.0
ALABAMA,2013,09,75.0,0.0
ALABAMA,2013,10,64.9,0.4
ALABAMA,2013,11,51.6,-2.6
ALABAMA,2013,12,47.9,0.3
ALABAMA,2014,01,37.3,-7.6
ALABAMA,2014,02,47.3,-1.4
ALABAMA,2014,03,52.3,-4.1
ALABAMA,2014,04,62.4,-1.0
ALABAMA,2014,05,70.2,-0.9
ALABAMA,2014,06,77.9,-0.1
ALABAMA,2014,07,77.8,-2.5
ALABAMA,2014,08,79.5,-0.4
ALABAMA,2014,09,76.3,1.3
ALABAMA,2014,10,65.2,0.7
ALABAMA,2014,11,48.2,-6.0
ALABAMA,2014,12,50.0,2.4
ALABAMA,2015,01,43.6,-1.3
ALABAMA,2015,02,41.3,-7.4
ALABAMA,2015,03,57.8,1.4
ALABAMA,2015,04,66.0,2.6
ALABAMA,2015,05,71.8,0.7
ALABAMA,2015,06,78.8,0.8
ALABAMA,2015,07,81.6,1.3
ALABAMA,2015,08,79.0,-0.9
ALABAMA,2015,09,74.4,-0.6
ALABAMA,2015,10,65.0,0.5
ALABAMA,2015,11,59.2,5.0
ALABAMA,2015,12,56.9,9.3
ALABAMA,2016,01,43.0,-1.9
ALABAMA,2016,02,49.8,1.1
ALABAMA,2016,03,59.7,3.3
ALABAMA,2016,04,63.6,0.2
ALABAMA,2016,05,70.2,-0.9
ALABAMA,2016,06,79.2,1.2
ALABAMA,2016,07,82.0,1.7
ALABAMA,2016,08,81.6,1.7
ALABAMA,2016,09,78.6,3.6
ALABAMA,2016,10,68.5,4.0
ALABAMA,2016,11,57.8,3.6
ALABAMA,2016,12,50.1,2.5
ALABAMA,2017,01,52.4,7.5
ALABAMA,2017,02,55.6,6.9
ALABAMA,2017,03,58.4,2.0
ALABAMA,2017,04,67.2,3.8
ALABAMA,2017,05,69.9,-1.2
ALABAMA,2017,06,75.8,-2.2
ALABAMA,2017,07,80.6,0.3
ALABAMA,2017,08,78.8,-1.1
ALABAMA,2017,09,73.4,-1.6
ALABAMA,2017,10,65.8,1.3
ALABAMA,2017,11,55.6,1.4
ALABAMA,2017,12,46.9,-0.7
ALABAMA,2018,01,40.4,-4.5
