LOCATION,YEAR,MONTH,Cooling_degree_days,Anomaly
ALABAMA,1996,01,5,-6
ALABAMA,1996,02,3,-5
ALABAMA,1996,03,6,-26
ALABAMA,1996,04,19,-35
ALABAMA,1996,05,240,43
ALABAMA,1996,06,340,-38
ALABAMA,1996,07,439,-23
ALABAMA,1996,08,389,-62
ALABAMA,1996,09,209,-80
ALABAMA,1996,10,57,-28
ALABAMA,1996,11,5,-6
ALABAMA,1996,12,5,-2
ALABAMA,1997,01,9,-2
ALABAMA,1997,02,10,2
ALABAMA,1997,03,63,31
ALABAMA,1997,04,15,-39
ALABAMA,1997,05,108,-89
ALABAMA,1997,06,257,-121
ALABAMA,1997,07,458,-4
ALABAMA,1997,08,377,-74
ALABAMA,1997,09,282,-7
ALABAMA,1997,10,59,-26
ALABAMA,1997,11,1,-10
ALABAMA,1997,12,1,-6
ALABAMA,1998,01,16,5
ALABAMA,1998,02,5,-3
ALABAMA,1998,03,14,-18
ALABAMA,1998,04,31,-23
ALABAMA,1998,05,256,59
ALABAMA,1998,06,450,72
ALABAMA,1998,07,507,45
ALABAMA,1998,08,451,0
ALABAMA,1998,09,362,73
ALABAMA,1998,10,117,32
ALABAMA,1998,11,23,12
ALABAMA,1998,12,12,5
ALABAMA,1999,01,20,9
ALABAMA,1999,02,12,4
ALABAMA,1999,03,13,-19
ALABAMA,1999,04,102,48
ALABAMA,1999,05,158,-39
ALABAMA,1999,06,340,-38
ALABAMA,1999,07,476,14
ALABAMA,1999,08,508,57
ALABAMA,1999,09,248,-41
ALABAMA,1999,10,67,-18
ALABAMA,1999,11,14,3
ALABAMA,1999,12,3,-4
ALABAMA,2000,01,11,0
ALABAMA,2000,02,13,5
ALABAMA,2000,03,43,11
ALABAMA,2000,04,22,-32
ALABAMA,2000,05,267,70
ALABAMA,2000,06,361,-17
ALABAMA,2000,07,506,44
ALABAMA,2000,08,486,35
ALABAMA,2000,09,259,-30
ALABAMA,2000,10,84,-1
ALABAMA,2000,11,4,-7
ALABAMA,2000,12,0,-7
ALABAMA,2001,01,3,-8
ALABAMA,2001,02,14,6
ALABAMA,2001,03,9,-23
ALABAMA,2001,04,67,13
ALABAMA,2001,05,181,-16
ALABAMA,2001,06,313,-65
ALABAMA,2001,07,443,-19
ALABAMA,2001,08,408,-43
ALABAMA,2001,09,206,-83
ALABAMA,2001,10,36,-49
ALABAMA,2001,11,28,17
ALABAMA,2001,12,9,2
ALABAMA,2002,01,14,3
ALABAMA,2002,02,2,-6
ALABAMA,2002,03,19,-13
ALABAMA,2002,04,88,34
