YEAR,LOCATION,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in BU,YIELD in BU / ACRE
1996,ALABAMA,305000.0,320000.0,10370000.0,34.0
1996,ARKANSAS,3500000.0,3550000.0,112000000.0,32.0
1996,DELAWARE,217000.0,220000.0,7595000.0,35.0
1996,FLORIDA,33000.0,35000.0,1056000.0,32.0
1996,GEORGIA,390000.0,400000.0,10140000.0,26.0
1996,ILLINOIS,9850000.0,9900000.0,398925000.0,40.5
1996,INDIANA,5360000.0,5400000.0,203680000.0,38.0
1996,IOWA,9450000.0,9500000.0,415800000.0,44.0
1996,KANSAS,2000000.0,2050000.0,74000000.0,37.0
1996,KENTUCKY,1180000.0,1200000.0,44840000.0,38.0
1996,LOUISIANA,1080000.0,1100000.0,35640000.0,33.0
1996,MARYLAND,480000.0,490000.0,17760000.0,37.0
1996,MICHIGAN,1640000.0,1650000.0,46740000.0,28.5
1996,MINNESOTA,5900000.0,6000000.0,224200000.0,38.0
1996,MISSISSIPPI,1750000.0,1800000.0,54250000.0,31.0
1996,MISSOURI,4050000.0,4100000.0,149850000.0,37.0
1996,NEBRASKA,3010000.0,3050000.0,135450000.0,45.0
1996,NEW JERSEY,119000.0,120000.0,4403000.0,37.0
1996,NORTH CAROLINA,1200000.0,1250000.0,34800000.0,29.0
1996,NORTH DAKOTA,845000.0,850000.0,24505000.0,29.0
1996,OHIO,4490000.0,4500000.0,157150000.0,35.0
1996,OKLAHOMA,285000.0,300000.0,7410000.0,26.0
1996,PENNSYLVANIA,285000.0,290000.0,11400000.0,40.0
1996,SOUTH CAROLINA,540000.0,560000.0,13500000.0,25.0
1996,SOUTH DAKOTA,2670000.0,2700000.0,90780000.0,34.0
1996,TENNESSEE,1100000.0,1150000.0,38500000.0,35.0
1996,TEXAS,270000.0,290000.0,7020000.0,26.0
1996,VIRGINIA,480000.0,500000.0,16320000.0,34.0
1996,WISCONSIN,870000.0,920000.0,32190000.0,37.0
1997,ALABAMA,340000.0,350000.0,8500000.0,25.0
1997,ARKANSAS,3600000.0,3650000.0,109800000.0,30.5
1997,DELAWARE,225000.0,230000.0,6525000.0,29.0
1997,FLORIDA,45000.0,47000.0,1125000.0,25.0
1997,GEORGIA,380000.0,400000.0,7980000.0,21.0
1997,ILLINOIS,9950000.0,10000000.0,427850000.0,43.0
1997,INDIANA,5300000.0,5350000.0,230550000.0,43.5
1997,IOWA,10400000.0,10500000.0,478400000.0,46.0
1997,KANSAS,2350000.0,2400000.0,86950000.0,37.0
1997,KENTUCKY,1220000.0,1240000.0,42090000.0,34.5
1997,LOUISIANA,1350000.0,1400000.0,39150000.0,29.0
1997,MARYLAND,520000.0,530000.0,15600000.0,30.0
1997,MICHIGAN,1860000.0,1870000.0,71610000.0,38.5
1997,MINNESOTA,6550000.0,6600000.0,255450000.0,39.0
1997,MISSISSIPPI,2070000.0,2100000.0,64170000.0,31.0
1997,MISSOURI,4850000.0,4900000.0,174600000.0,36.0
1997,NEBRASKA,3550000.0,3600000.0,143775000.0,40.5
1997,NEW JERSEY,130000.0,133000.0,4030000.0,31.0
1997,NORTH CAROLINA,1330000.0,1400000.0,38570000.0,29.0
1997,NORTH DAKOTA,1140000.0,1150000.0,33630000.0,29.5
1997,OHIO,4340000.0,4350000.0,190960000.0,44.0
1997,OKLAHOMA,330000.0,340000.0,9900000.0,30.0
1997,PENNSYLVANIA,370000.0,375000.0,13690000.0,37.0
1997,SOUTH CAROLINA,570000.0,580000.0,12825000.0,22.5
1997,SOUTH DAKOTA,3250000.0,3300000.0,113750000.0,35.0
1997,TENNESSEE,1200000.0,1240000.0,40800000.0,34.0
1997,TEXAS,400000.0,420000.0,11200000.0,28.0
1997,VIRGINIA,490000.0,510000.0,11270000.0,23.0
1997,WISCONSIN,1000000.0,1040000.0,44000000.0,44.0
1998,ALABAMA,320000.0,340000.0,7040000.0,22.0
1998,ARKANSAS,3400000.0,3550000.0,85000000.0,25.0
1998,DELAWARE,216000.0,220000.0,7128000.0,33.0
1998,FLORIDA,30000.0,35000.0,690000.0,23.0
1998,GEORGIA,220000.0,300000.0,4620000.0,21.0
1998,ILLINOIS,10550000.0,10600000.0,464200000.0,44.0
1998,INDIANA,5500000.0,5600000.0,231000000.0,42.0
1998,IOWA,10350000.0,10400000.0,496800000.0,48.0
1998,KANSAS,2500000.0,2550000.0,75000000.0,30.0
1998,KENTUCKY,1200000.0,1220000.0,36000000.0,30.0
1998,LOUISIANA,1070000.0,1200000.0,22470000.0,21.0
1998,MARYLAND,460000.0,470000.0,14260000.0,31.0
1998,MICHIGAN,1890000.0,1900000.0,73710000.0,39.0
