LOCATION,YEAR,MONTH,Heating_degree_days,Anomaly
ALABAMA,1996,01,705,44
ALABAMA,1996,02,537,48
ALABAMA,1996,03,475,150
ALABAMA,1996,04,189,70
ALABAMA,1996,05,11,-12
ALABAMA,1996,06,0,0
ALABAMA,1996,07,0,0
ALABAMA,1996,08,0,0
ALABAMA,1996,09,14,9
ALABAMA,1996,10,143,26
ALABAMA,1996,11,402,49
ALABAMA,1996,12,521,-50
ALABAMA,1997,01,634,-27
ALABAMA,1997,02,431,-58
ALABAMA,1997,03,216,-109
ALABAMA,1997,04,220,101
ALABAMA,1997,05,65,42
ALABAMA,1997,06,3,3
ALABAMA,1997,07,0,0
ALABAMA,1997,08,0,0
ALABAMA,1997,09,5,0
ALABAMA,1997,10,143,26
ALABAMA,1997,11,476,123
ALABAMA,1997,12,656,85
ALABAMA,1998,01,571,-90
ALABAMA,1998,02,471,-18
ALABAMA,1998,03,397,72
ALABAMA,1998,04,153,34
ALABAMA,1998,05,9,-14
ALABAMA,1998,06,0,0
ALABAMA,1998,07,0,0
ALABAMA,1998,08,0,0
ALABAMA,1998,09,0,-5
ALABAMA,1998,10,77,-40
ALABAMA,1998,11,267,-86
ALABAMA,1998,12,464,-107
ALABAMA,1999,01,531,-130
ALABAMA,1999,02,406,-83
ALABAMA,1999,03,421,96
ALABAMA,1999,04,59,-60
ALABAMA,1999,05,31,8
ALABAMA,1999,06,0,0
ALABAMA,1999,07,0,0
ALABAMA,1999,08,0,0
ALABAMA,1999,09,6,1
ALABAMA,1999,10,129,12
ALABAMA,1999,11,289,-64
ALABAMA,1999,12,580,9
ALABAMA,2000,01,621,-40
ALABAMA,2000,02,391,-98
ALABAMA,2000,03,258,-67
ALABAMA,2000,04,188,69
ALABAMA,2000,05,9,-14
ALABAMA,2000,06,0,0
ALABAMA,2000,07,0,0
ALABAMA,2000,08,0,0
ALABAMA,2000,09,6,1
ALABAMA,2000,10,105,-12
ALABAMA,2000,11,390,37
ALABAMA,2000,12,829,258
ALABAMA,2001,01,769,108
ALABAMA,2001,02,395,-94
ALABAMA,2001,03,456,131
ALABAMA,2001,04,90,-29
ALABAMA,2001,05,24,1
ALABAMA,2001,06,0,0
ALABAMA,2001,07,0,0
ALABAMA,2001,08,0,0
ALABAMA,2001,09,13,8
ALABAMA,2001,10,187,70
ALABAMA,2001,11,233,-120
ALABAMA,2001,12,482,-89
ALABAMA,2002,01,598,-63
ALABAMA,2002,02,554,65
ALABAMA,2002,03,358,33
ALABAMA,2002,04,71,-48
ALABAMA,2002,05,33,10
ALABAMA,2002,06,0,0
ALABAMA,2002,07,0,0
ALABAMA,2002,08,0,0
ALABAMA,2002,09,0,-5
ALABAMA,2002,10,71,-46
ALABAMA,2002,11,443,90
ALABAMA,2002,12,640,69
ALABAMA,2003,01,810,149
ALABAMA,2003,02,511,22
ALABAMA,2003,03,290,-35
ALABAMA,2003,04,112,-7
ALABAMA,2003,05,23,0
ALABAMA,2003,06,1,1
ALABAMA,2003,07,0,0
ALABAMA,2003,08,0,0
ALABAMA,2003,09,9,4
ALABAMA,2003,10,130,13
ALABAMA,2003,11,242,-111
ALABAMA,2003,12,670,99
ALABAMA,2004,01,678,17
ALABAMA,2004,02,572,83
ALABAMA,2004,03,254,-71
ALABAMA,2004,04,155,36
ALABAMA,2004,05,9,-14
ALABAMA,2004,06,0,0
ALABAMA,2004,07,0,0
ALABAMA,2004,08,0,0
ALABAMA,2004,09,7,2
ALABAMA,2004,10,61,-56
ALABAMA,2004,11,257,-96
ALABAMA,2004,12,640,69
ALABAMA,2005,01,531,-130
ALABAMA,2005,02,421,-68
ALABAMA,2005,03,394,69
ALABAMA,2005,04,157,38
ALABAMA,2005,05,50,27
ALABAMA,2005,06,0,0
ALABAMA,2005,07,0,0
ALABAMA,2005,08,0,0
ALABAMA,2005,09,1,-4
ALABAMA,2005,10,123,6
ALABAMA,2005,11,309,-44
ALABAMA,2005,12,700,129
ALABAMA,2006,01,482,-179
ALABAMA,2006,02,561,72
ALABAMA,2006,03,327,2
ALABAMA,2006,04,51,-68
ALABAMA,2006,05,28,5
ALABAMA,2006,06,0,0
ALABAMA,2006,07,0,0
ALABAMA,2006,08,0,0
ALABAMA,2006,09,11,6
ALABAMA,2006,10,167,50
ALABAMA,2006,11,384,31
ALABAMA,2006,12,517,-54
ALABAMA,2007,01,606,-55
ALABAMA,2007,02,595,106
ALABAMA,2007,03,220,-105
ALABAMA,2007,04,186,67
ALABAMA,2007,05,16,-7
ALABAMA,2007,06,0,0
ALABAMA,2007,07,0,0
ALABAMA,2007,08,0,0
ALABAMA,2007,09,1,-4
ALABAMA,2007,10,79,-38
ALABAMA,2007,11,364,11
ALABAMA,2007,12,450,-121
ALABAMA,2008,01,709,48
ALABAMA,2008,02,472,-17
ALABAMA,2008,03,347,22
ALABAMA,2008,04,126,7
ALABAMA,2008,05,30,7
ALABAMA,2008,06,0,0
ALABAMA,2008,07,0,0
ALABAMA,2008,08,0,0
ALABAMA,2008,09,4,-1
ALABAMA,2008,10,152,35
ALABAMA,2008,11,445,92
ALABAMA,2008,12,518,-53
ALABAMA,2009,01,657,-4
ALABAMA,2009,02,494,5
ALABAMA,2009,03,295,-30
ALABAMA,2009,04,154,35
ALABAMA,2009,05,21,-2
ALABAMA,2009,06,0,0
ALABAMA,2009,07,0,0
ALABAMA,2009,08,0,0
ALABAMA,2009,09,4,-1
ALABAMA,2009,10,153,36
ALABAMA,2009,11,364,11
ALABAMA,2009,12,651,80
ALABAMA,2010,01,809,148
ALABAMA,2010,02,708,219
ALABAMA,2010,03,456,131
ALABAMA,2010,04,97,-22
ALABAMA,2010,05,11,-12
ALABAMA,2010,06,0,0
ALABAMA,2010,07,0,0
ALABAMA,2010,08,0,0
ALABAMA,2010,09,1,-4
ALABAMA,2010,10,117,0
ALABAMA,2010,11,324,-29
ALABAMA,2010,12,788,217
ALABAMA,2011,01,771,110
ALABAMA,2011,02,460,-29
ALABAMA,2011,03,289,-36
ALABAMA,2011,04,78,-41
ALABAMA,2011,05,29,6
ALABAMA,2011,06,0,0
ALABAMA,2011,07,0,0
ALABAMA,2011,08,0,0
ALABAMA,2011,09,14,9
ALABAMA,2011,10,186,69
ALABAMA,2011,11,319,-34
ALABAMA,2011,12,514,-57
ALABAMA,2012,01,509,-152
ALABAMA,2012,02,398,-91
ALABAMA,2012,03,140,-185
ALABAMA,2012,04,84,-35
ALABAMA,2012,05,8,-15
ALABAMA,2012,06,0,0
ALABAMA,2012,07,0,0
ALABAMA,2012,08,0,0
ALABAMA,2012,09,10,5
ALABAMA,2012,10,157,40
ALABAMA,2012,11,431,78
ALABAMA,2012,12,465,-106
ALABAMA,2013,01,524,-137
ALABAMA,2013,02,505,16
ALABAMA,2013,03,497,172
ALABAMA,2013,04,140,21
ALABAMA,2013,05,45,22
ALABAMA,2013,06,0,0
ALABAMA,2013,07,0,0
ALABAMA,2013,08,0,0
ALABAMA,2013,09,4,-1
ALABAMA,2013,10,107,-10
ALABAMA,2013,11,432,79
ALABAMA,2013,12,564,-7
ALABAMA,2014,01,887,226
ALABAMA,2014,02,531,42
ALABAMA,2014,03,429,104
ALABAMA,2014,04,132,13
ALABAMA,2014,05,25,2
ALABAMA,2014,06,0,0
ALABAMA,2014,07,0,0
ALABAMA,2014,08,0,0
ALABAMA,2014,09,1,-4
ALABAMA,2014,10,101,-16
ALABAMA,2014,11,522,169
ALABAMA,2014,12,500,-71
ALABAMA,2015,01,698,37
ALABAMA,2015,02,697,208
ALABAMA,2015,03,295,-30
ALABAMA,2015,04,78,-41
ALABAMA,2015,05,16,-7
ALABAMA,2015,06,0,0
ALABAMA,2015,07,0,0
ALABAMA,2015,08,0,0
ALABAMA,2015,09,5,0
ALABAMA,2015,10,104,-13
ALABAMA,2015,11,220,-133
ALABAMA,2015,12,308,-263
ALABAMA,2016,01,713,52
ALABAMA,2016,02,454,-35
ALABAMA,2016,03,238,-87
ALABAMA,2016,04,108,-11
ALABAMA,2016,05,27,4
ALABAMA,2016,06,0,0
ALABAMA,2016,07,0,0
ALABAMA,2016,08,0,0
ALABAMA,2016,09,0,-5
ALABAMA,2016,10,52,-65
ALABAMA,2016,11,253,-100
ALABAMA,2016,12,504,-67
ALABAMA,2017,01,447,-214
ALABAMA,2017,02,313,-176
ALABAMA,2017,03,274,-51
ALABAMA,2017,04,51,-68
ALABAMA,2017,05,29,6
ALABAMA,2017,06,0,0
ALABAMA,2017,07,0,0
ALABAMA,2017,08,0,0
ALABAMA,2017,09,10,5
ALABAMA,2017,10,97,-20
ALABAMA,2017,11,313,-40
ALABAMA,2017,12,589,18
ALABAMA,2018,01,793,132
ALABAMA,2018,02,268,-221
ALABAMA,2018,03,354,29
ALABAMA,2018,04,204,85
ALABAMA,2018,05,5,-18
ALABAMA,2018,06,0,0
ALABAMA,2018,07,0,0
ALABAMA,2018,08,0,0
ALABAMA,2018,09,0,-5
ALABAMA,2018,10,73,-44
ALABAMA,2018,11,466,113
ALABAMA,2018,12,525,-46
ALABAMA,2019,01,616,-45
ARIZONA,1996,01,436,-17
ARIZONA,1996,02,251,-89
ARIZONA,1996,03,233,13
ARIZONA,1996,04,82,-18
ARIZONA,1996,05,11,-12
ARIZONA,1996,06,1,0
ARIZONA,1996,07,0,0
ARIZONA,1996,08,0,0
ARIZONA,1996,09,6,3
ARIZONA,1996,10,61,12
ARIZONA,1996,11,227,-8
ARIZONA,1996,12,438,-42
ARIZONA,1997,01,479,26
ARIZONA,1997,02,373,33
ARIZONA,1997,03,164,-56
ARIZONA,1997,04,134,34
ARIZONA,1997,05,11,-12
ARIZONA,1997,06,3,2
ARIZONA,1997,07,0,0
ARIZONA,1997,08,0,0
ARIZONA,1997,09,2,-1
ARIZONA,1997,10,67,18
ARIZONA,1997,11,237,2
ARIZONA,1997,12,570,90
ARIZONA,1998,01,455,2
ARIZONA,1998,02,460,120
ARIZONA,1998,03,313,93
ARIZONA,1998,04,213,113
ARIZONA,1998,05,48,25
ARIZONA,1998,06,6,5
ARIZONA,1998,07,0,0
ARIZONA,1998,08,0,0
ARIZONA,1998,09,3,0
ARIZONA,1998,10,63,14
ARIZONA,1998,11,251,16
ARIZONA,1998,12,479,-1
ARIZONA,1999,01,417,-36
ARIZONA,1999,02,300,-40
ARIZONA,1999,03,223,3
ARIZONA,1999,04,197,97
ARIZONA,1999,05,31,8
ARIZONA,1999,06,3,2
ARIZONA,1999,07,0,0
ARIZONA,1999,08,0,0
ARIZONA,1999,09,4,1
ARIZONA,1999,10,34,-15
ARIZONA,1999,11,151,-84
ARIZONA,1999,12,491,11
ARIZONA,2000,01,392,-61
ARIZONA,2000,02,292,-48
ARIZONA,2000,03,263,43
ARIZONA,2000,04,64,-36
ARIZONA,2000,05,8,-15
ARIZONA,2000,06,1,0
ARIZONA,2000,07,0,0
ARIZONA,2000,08,0,0
ARIZONA,2000,09,2,-1
ARIZONA,2000,10,73,24
ARIZONA,2000,11,445,210
ARIZONA,2000,12,433,-47
ARIZONA,2001,01,542,89
ARIZONA,2001,02,410,70
ARIZONA,2001,03,249,29
ARIZONA,2001,04,122,22
ARIZONA,2001,05,10,-13
ARIZONA,2001,06,1,0
ARIZONA,2001,07,0,0
ARIZONA,2001,08,0,0
ARIZONA,2001,09,1,-2
ARIZONA,2001,10,33,-16
ARIZONA,2001,11,185,-50
ARIZONA,2001,12,561,81
ARIZONA,2002,01,493,40
ARIZONA,2002,02,331,-9
ARIZONA,2002,03,280,60
ARIZONA,2002,04,62,-38
ARIZONA,2002,05,22,-1
ARIZONA,2002,06,1,0
ARIZONA,2002,07,0,0
ARIZONA,2002,08,0,0
ARIZONA,2002,09,3,0
ARIZONA,2002,10,71,22
ARIZONA,2002,11,218,-17
ARIZONA,2002,12,520,40
ARIZONA,2003,01,305,-148
ARIZONA,2003,02,360,20
ARIZONA,2003,03,272,52
ARIZONA,2003,04,152,52
ARIZONA,2003,05,15,-8
ARIZONA,2003,06,1,0
ARIZONA,2003,07,0,0
ARIZONA,2003,08,0,0
ARIZONA,2003,09,2,-1
ARIZONA,2003,10,18,-31
ARIZONA,2003,11,294,59
ARIZONA,2003,12,467,-13
ARIZONA,2004,01,455,2
ARIZONA,2004,02,447,107
ARIZONA,2004,03,114,-106
ARIZONA,2004,04,110,10
ARIZONA,2004,05,15,-8
ARIZONA,2004,06,2,1
ARIZONA,2004,07,0,0
ARIZONA,2004,08,0,0
ARIZONA,2004,09,5,2
ARIZONA,2004,10,70,21
ARIZONA,2004,11,343,108
ARIZONA,2004,12,480,0
ARIZONA,2005,01,423,-30
ARIZONA,2005,02,349,9
ARIZONA,2005,03,293,73
ARIZONA,2005,04,123,23
ARIZONA,2005,05,16,-7
ARIZONA,2005,06,3,2
ARIZONA,2005,07,0,0
ARIZONA,2005,08,0,0
ARIZONA,2005,09,3,0
ARIZONA,2005,10,44,-5
ARIZONA,2005,11,198,-37
ARIZONA,2005,12,440,-40
ARIZONA,2006,01,432,-21
ARIZONA,2006,02,298,-42
ARIZONA,2006,03,315,95
ARIZONA,2006,04,102,2
ARIZONA,2006,05,11,-12
ARIZONA,2006,06,0,-1
ARIZONA,2006,07,0,0
ARIZONA,2006,08,0,0
ARIZONA,2006,09,8,5
ARIZONA,2006,10,65,16
ARIZONA,2006,11,191,-44
