LOCATION,YEAR,MONTH,Max_Temperature,Anomaly
ALABAMA,1996,01,55.4,-0.6
ALABAMA,1996,02,59.1,-1.2
ALABAMA,1996,03,62.8,-5.9
ALABAMA,1996,04,73.7,-2.5
ALABAMA,1996,05,85.4,2.4
ALABAMA,1996,06,87.4,-1.6
ALABAMA,1996,07,90.2,-0.5
ALABAMA,1996,08,88.1,-2.3
ALABAMA,1996,09,83.0,-3.0
ALABAMA,1996,10,74.6,-2.2
ALABAMA,1996,11,64.0,-2.7
ALABAMA,1996,12,60.6,2.2
ALABAMA,1997,01,56.0,0.0
ALABAMA,1997,02,60.8,0.5
ALABAMA,1997,03,74.0,5.3
ALABAMA,1997,04,71.6,-4.6
ALABAMA,1997,05,79.2,-3.8
ALABAMA,1997,06,82.9,-6.1
ALABAMA,1997,07,90.2,-0.5
ALABAMA,1997,08,88.4,-2.0
ALABAMA,1997,09,87.2,1.2
ALABAMA,1997,10,75.8,-1.0
ALABAMA,1997,11,60.7,-6.0
ALABAMA,1997,12,54.8,-3.6
ALABAMA,1998,01,57.7,1.7
ALABAMA,1998,02,59.7,-0.6
ALABAMA,1998,03,64.7,-4.0
ALABAMA,1998,04,73.4,-2.8
ALABAMA,1998,05,86.3,3.3
ALABAMA,1998,06,92.3,3.3
ALABAMA,1998,07,91.8,1.1
ALABAMA,1998,08,91.2,0.8
ALABAMA,1998,09,88.2,2.2
ALABAMA,1998,10,80.0,3.2
ALABAMA,1998,11,69.6,2.9
ALABAMA,1998,12,60.8,2.4
ALABAMA,1999,01,61.3,5.3
ALABAMA,1999,02,63.8,3.5
ALABAMA,1999,03,66.2,-2.5
ALABAMA,1999,04,79.2,3.0
ALABAMA,1999,05,82.3,-0.7
ALABAMA,1999,06,86.2,-2.8
ALABAMA,1999,07,90.5,-0.2
ALABAMA,1999,08,94.2,3.8
ALABAMA,1999,09,86.8,0.8
ALABAMA,1999,10,76.6,-0.2
ALABAMA,1999,11,70.1,3.4
ALABAMA,1999,12,59.4,1.0
ALABAMA,2000,01,57.1,1.1
ALABAMA,2000,02,66.2,5.9
ALABAMA,2000,03,72.1,3.4
ALABAMA,2000,04,73.4,-2.8
ALABAMA,2000,05,86.3,3.3
ALABAMA,2000,06,89.4,0.4
