LOCATION,YEAR,MONTH,Precipitation,Anomaly
ALABAMA,1996,01,7.4,2.82
ALABAMA,1996,02,4.07,-0.82
ALABAMA,1996,03,8.45,3.33
ALABAMA,1996,04,4.65,-0.21
ALABAMA,1996,05,2.56,-1.76
ALABAMA,1996,06,3.38,-1.41
ALABAMA,1996,07,6.63,1.55
ALABAMA,1996,08,4.7,-0.07
ALABAMA,1996,09,5.71,1.55
ALABAMA,1996,10,2.38,-0.72
ALABAMA,1996,11,3.46,-0.78
ALABAMA,1996,12,4.94,-0.95
ALABAMA,1997,01,6.47,1.89
ALABAMA,1997,02,6.16,1.27
ALABAMA,1997,03,3.87,-1.25
ALABAMA,1997,04,6.03,1.17
ALABAMA,1997,05,5.39,1.07
ALABAMA,1997,06,7.91,3.12
ALABAMA,1997,07,5.33,0.25
ALABAMA,1997,08,2.88,-1.89
ALABAMA,1997,09,3.3,-0.86
ALABAMA,1997,10,5.1,2.0
ALABAMA,1997,11,5.7,1.46
ALABAMA,1997,12,4.82,-1.07
ALABAMA,1998,01,8.14,3.56
ALABAMA,1998,02,7.29,2.4
ALABAMA,1998,03,6.2,1.08
ALABAMA,1998,04,5.39,0.53
ALABAMA,1998,05,2.28,-2.04
ALABAMA,1998,06,3.22,-1.57
ALABAMA,1998,07,6.07,0.99
ALABAMA,1998,08,3.44,-1.33
ALABAMA,1998,09,8.29,4.13
ALABAMA,1998,10,1.37,-1.73
ALABAMA,1998,11,3.3,-0.94
ALABAMA,1998,12,4.27,-1.62
ALABAMA,1999,01,7.94,3.36
ALABAMA,1999,02,2.55,-2.34
ALABAMA,1999,03,5.65,0.53
ALABAMA,1999,04,2.57,-2.29
ALABAMA,1999,05,4.11,-0.21
ALABAMA,1999,06,8.31,3.52
ALABAMA,1999,07,4.63,-0.45
ALABAMA,1999,08,2.02,-2.75
ALABAMA,1999,09,1.91,-2.25
ALABAMA,1999,10,3.39,0.29
ALABAMA,1999,11,2.61,-1.63
ALABAMA,1999,12,3.32,-2.57
ALABAMA,2000,01,4.69,0.11
ALABAMA,2000,02,1.99,-2.9
ALABAMA,2000,03,5.05,-0.07
ALABAMA,2000,04,4.83,-0.03
ALABAMA,2000,05,1.32,-3.0
ALABAMA,2000,06,3.71,-1.08
ALABAMA,2000,07,2.26,-2.82
ALABAMA,2000,08,2.36,-2.41
ALABAMA,2000,09,3.49,-0.67
ALABAMA,2000,10,0.8,-2.3
ALABAMA,2000,11,7.7,3.46
ALABAMA,2000,12,4.29,-1.6
ALABAMA,2001,01,4.69,0.11
ALABAMA,2001,02,4.11,-0.78
ALABAMA,2001,03,10.11,4.99
ALABAMA,2001,04,3.88,-0.98
ALABAMA,2001,05,4.03,-0.29
ALABAMA,2001,06,7.15,2.36
ALABAMA,2001,07,3.95,-1.13
ALABAMA,2001,08,5.48,0.71
ALABAMA,2001,09,4.8,0.64
ALABAMA,2001,10,3.27,0.17
ALABAMA,2001,11,3.43,-0.81
ALABAMA,2001,12,4.14,-1.75
ALABAMA,2002,01,5.11,0.53
ALABAMA,2002,02,2.99,-1.9
ALABAMA,2002,03,5.79,0.67
ALABAMA,2002,04,2.19,-2.67
ALABAMA,2002,05,4.09,-0.23
ALABAMA,2002,06,3.77,-1.02
ALABAMA,2002,07,5.38,0.3
ALABAMA,2002,08,3.24,-1.53
ALABAMA,2002,09,7.57,3.41
ALABAMA,2002,10,5.58,2.48
ALABAMA,2002,11,4.88,0.64
ALABAMA,2002,12,6.54,0.65
ALABAMA,2003,01,2.33,-2.25
ALABAMA,2003,02,6.76,1.87
ALABAMA,2003,03,4.67,-0.45
ALABAMA,2003,04,6.41,1.55
ALABAMA,2003,05,8.49,4.17
ALABAMA,2003,06,8.17,3.38
ALABAMA,2003,07,7.74,2.66
ALABAMA,2003,08,5.7,0.93
ALABAMA,2003,09,3.7,-0.46
ALABAMA,2003,10,1.61,-1.49
ALABAMA,2003,11,4.67,0.43
ALABAMA,2003,12,3.47,-2.42
ALABAMA,2004,01,3.27,-1.31
ALABAMA,2004,02,7.06,2.17
ALABAMA,2004,03,2.28,-2.84
ALABAMA,2004,04,3.37,-1.49
ALABAMA,2004,05,4.0,-0.32
ALABAMA,2004,06,7.53,2.74
ALABAMA,2004,07,4.43,-0.65
ALABAMA,2004,08,4.48,-0.29
ALABAMA,2004,09,6.63,2.47
ALABAMA,2004,10,3.87,0.77
ALABAMA,2004,11,8.12,3.88
ALABAMA,2004,12,4.84,-1.05
ALABAMA,2005,01,2.86,-1.72
ALABAMA,2005,02,4.96,0.07
ALABAMA,2005,03,5.85,0.73
ALABAMA,2005,04,7.6,2.74
ALABAMA,2005,05,2.8,-1.52
ALABAMA,2005,06,6.37,1.58
ALABAMA,2005,07,9.19,4.11
ALABAMA,2005,08,6.01,1.24
ALABAMA,2005,09,3.29,-0.87
ALABAMA,2005,10,0.61,-2.49
ALABAMA,2005,11,3.59,-0.65
ALABAMA,2005,12,3.95,-1.94
ALABAMA,2006,01,5.23,0.65
ALABAMA,2006,02,5.05,0.16
ALABAMA,2006,03,2.97,-2.15
ALABAMA,2006,04,3.07,-1.79
ALABAMA,2006,05,4.41,0.09
ALABAMA,2006,06,2.01,-2.78
ALABAMA,2006,07,3.33,-1.75
ALABAMA,2006,08,3.91,-0.86
ALABAMA,2006,09,3.53,-0.63
ALABAMA,2006,10,5.13,2.03
ALABAMA,2006,11,4.84,0.6
ALABAMA,2006,12,4.06,-1.83
ALABAMA,2007,01,4.34,-0.24
ALABAMA,2007,02,2.64,-2.25
ALABAMA,2007,03,1.56,-3.56
ALABAMA,2007,04,3.91,-0.95
