"Min Year","Max Year","Data Item"
"1997","2017","AG LAND - ACRES"
"1997","2017","AG LAND - NUMBER OF OPERATIONS"
"1997","2017","AG LAND - OPERATIONS WITH TREATED"
"1997","2017","AG LAND - TREATED, MEASURED IN ACRES"
"1997","2017","AG LAND, (EXCL CROPLAND & PASTURELAND & WOODLAND) - ACRES"
"2002","2017","AG LAND, (EXCL CROPLAND & PASTURELAND & WOODLAND) - AREA, MEASURED IN PCT OF AG LAND"
"2012","2017","AG LAND, (EXCL CROPLAND & PASTURELAND & WOODLAND) - AREA, MEASURED IN PCT OF FARM OPERATIONS"
"1997","2017","AG LAND, (EXCL CROPLAND & PASTURELAND & WOODLAND) - NUMBER OF OPERATIONS"
"2013","2013","AG LAND, (EXCL CROPLAND & PASTURELAND) - ACRES"
"2013","2013","AG LAND, (EXCL CROPLAND & PASTURELAND) - NUMBER OF OPERATIONS"
"2014","2014","AG LAND, (EXCL CROPLAND & PASTURELAND), OWNED, RENTED TO OTHERS - ACRES"
"2014","2014","AG LAND, (EXCL CROPLAND & PASTURELAND), OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT"
"1997","2017","AG LAND, (EXCL HARVESTED CROPLAND), IRRIGATED - ACRES"
"1997","2017","AG LAND, (EXCL HARVESTED CROPLAND), IRRIGATED - NUMBER OF OPERATIONS"
"2002","2017","AG LAND, CROP INSURANCE - ACRES"
"2002","2017","AG LAND, CROP INSURANCE - NUMBER OF OPERATIONS"
"1997","2017","AG LAND, CROPLAND - ACRES"
"2002","2017","AG LAND, CROPLAND - AREA, MEASURED IN PCT OF AG LAND"
"2012","2017","AG LAND, CROPLAND - AREA, MEASURED IN PCT OF FARM OPERATIONS"
"1997","2019","AG LAND, CROPLAND - ASSET VALUE, MEASURED IN $ / ACRE"
"1997","2017","AG LAND, CROPLAND - NUMBER OF OPERATIONS"
"1997","2017","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - ACRES"
"2002","2017","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - AREA, MEASURED IN PCT OF AG LAND"
"2012","2017","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - AREA, MEASURED IN PCT OF FARM OPERATIONS"
"1997","2017","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED) - NUMBER OF OPERATIONS"
"1997","2017","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), ALL CROPS FAILED - ACRES"
"2002","2017","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), ALL CROPS FAILED - AREA, MEASURED IN PCT OF AG LAND"
"2012","2017","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), ALL CROPS FAILED - AREA, MEASURED IN PCT OF FARM OPERATIONS"
"1997","2017","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), ALL CROPS FAILED - NUMBER OF OPERATIONS"
"1997","2017","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), CULTIVATED SUMMER FALLOW - ACRES"
"2002","2017","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), CULTIVATED SUMMER FALLOW - AREA, MEASURED IN PCT OF AG LAND"
"2012","2017","AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), CULTIVATED SUMMER FALLOW - AREA, MEASURED IN PCT OF FARM OPERATIONS"
