YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE"
1994,"MINNESOTA, CENTRAL, BENTON",27,50,009,YEAR,SOYBEANS,"12,700","12,800","444,500",35
1994,"MINNESOTA, CENTRAL, CARVER",27,50,019,YEAR,SOYBEANS,"31,000","31,600","1,178,000",38
1994,"MINNESOTA, CENTRAL, KANDIYOHI",27,50,067,YEAR,SOYBEANS,"107,500","109,700","4,622,500",43
1994,"MINNESOTA, CENTRAL, MCLEOD",27,50,085,YEAR,SOYBEANS,"87,600","90,300","3,679,200",42
1994,"MINNESOTA, CENTRAL, MEEKER",27,50,093,YEAR,SOYBEANS,"96,600","98,600","4,250,400",44
1994,"MINNESOTA, CENTRAL, OTHER (COMBINED) COUNTIES",27,50,"   ",YEAR,SOYBEANS,"5,100","5,300","158,100",31
1994,"MINNESOTA, CENTRAL, RENVILLE",27,50,129,YEAR,SOYBEANS,"233,700","236,100","10,282,800",44
1994,"MINNESOTA, CENTRAL, SCOTT",27,50,139,YEAR,SOYBEANS,"25,500","25,900","1,096,500",43
1994,"MINNESOTA, CENTRAL, SHERBURNE",27,50,141,YEAR,SOYBEANS,"14,200","14,300","525,400",37
1994,"MINNESOTA, CENTRAL, SIBLEY",27,50,143,YEAR,SOYBEANS,"123,800","125,100","5,323,400",43
1994,"MINNESOTA, CENTRAL, STEARNS",27,50,145,YEAR,SOYBEANS,"52,000","52,500","1,820,000",35
1994,"MINNESOTA, CENTRAL, TODD",27,50,153,YEAR,SOYBEANS,"9,500","9,600","285,000",30
1994,"MINNESOTA, CENTRAL, WRIGHT",27,50,171,YEAR,SOYBEANS,"58,000","58,200","2,378,000",41
1994,"MINNESOTA, EAST CENTRAL, ANOKA",27,60,003,YEAR,SOYBEANS,"4,100","4,100","131,200",32
1994,"MINNESOTA, EAST CENTRAL, CHISAGO",27,60,025,YEAR,SOYBEANS,"13,700","13,800","383,600",28
1994,"MINNESOTA, EAST CENTRAL, HENNEPIN",27,60,053,YEAR,SOYBEANS,"12,400","12,500","520,800",42
1994,"MINNESOTA, EAST CENTRAL, ISANTI",27,60,059,YEAR,SOYBEANS,"22,200","22,400","710,400",32
1994,"MINNESOTA, EAST CENTRAL, KANABEC",27,60,065,YEAR,SOYBEANS,"3,900","3,900","117,000",30
1994,"MINNESOTA, EAST CENTRAL, MILLE LACS",27,60,095,YEAR,SOYBEANS,"7,900","8,000","221,200",28
1994,"MINNESOTA, EAST CENTRAL, OTHER (COMBINED) COUNTIES",27,60,"   ",YEAR,SOYBEANS,900,"1,000","27,600",30.7
1994,"MINNESOTA, EAST CENTRAL, PINE",27,60,115,YEAR,SOYBEANS,"5,100","5,200","168,300",33
1994,"MINNESOTA, EAST CENTRAL, WASHINGTON",27,60,163,YEAR,SOYBEANS,"14,000","14,100","560,000",40
1994,"MINNESOTA, NORTH CENTRAL, OTHER (COMBINED) COUNTIES",27,20,"   ",YEAR,SOYBEANS,800,"1,000","19,900",24.9
1994,"MINNESOTA, NORTHWEST, BECKER",27,10,005,YEAR,SOYBEANS,"37,900","40,200","985,400",26
1994,"MINNESOTA, NORTHWEST, CLAY",27,10,027,YEAR,SOYBEANS,"75,000","75,700","2,175,000",29
1994,"MINNESOTA, NORTHWEST, MAHNOMEN",27,10,087,YEAR,SOYBEANS,"10,500","11,100","325,500",31
1994,"MINNESOTA, NORTHWEST, MARSHALL",27,10,089,YEAR,SOYBEANS,"5,000","5,300","155,000",31
1994,"MINNESOTA, NORTHWEST, NORMAN",27,10,107,YEAR,SOYBEANS,"41,800","43,400","1,254,000",30
1994,"MINNESOTA, NORTHWEST, OTHER (COMBINED) COUNTIES",27,10,"   ",YEAR,SOYBEANS,"1,300","1,500","35,300",27.2
1994,"MINNESOTA, NORTHWEST, POLK",27,10,119,YEAR,SOYBEANS,"22,400","23,400","604,800",27
1994,"MINNESOTA, NORTHWEST, RED LAKE",27,10,125,YEAR,SOYBEANS,"2,700","2,900","75,600",28
1994,"MINNESOTA, NORTHWEST, ROSEAU",27,10,135,YEAR,SOYBEANS,"1,400","1,500","39,200",28
1994,"MINNESOTA, SOUTH CENTRAL, BLUE EARTH",27,80,013,YEAR,SOYBEANS,"171,600","172,300","7,550,400",44
1994,"MINNESOTA, SOUTH CENTRAL, BROWN",27,80,015,YEAR,SOYBEANS,"129,500","132,100","5,698,000",44
1994,"MINNESOTA, SOUTH CENTRAL, FARIBAULT",27,80,043,YEAR,SOYBEANS,"160,000","161,600","6,880,000",43
1994,"MINNESOTA, SOUTH CENTRAL, FREEBORN",27,80,047,YEAR,SOYBEANS,"136,000","137,400","5,984,000",44
1994,"MINNESOTA, SOUTH CENTRAL, LE SUEUR",27,80,079,YEAR,SOYBEANS,"71,400","74,400","2,998,800",42
1994,"MINNESOTA, SOUTH CENTRAL, MARTIN",27,80,091,YEAR,SOYBEANS,"189,800","191,700","8,161,400",43
1994,"MINNESOTA, SOUTH CENTRAL, NICOLLET",27,80,103,YEAR,SOYBEANS,"96,100","98,100","4,228,400",44
1994,"MINNESOTA, SOUTH CENTRAL, RICE",27,80,131,YEAR,SOYBEANS,"47,200","48,200","2,076,800",44
1994,"MINNESOTA, SOUTH CENTRAL, STEELE",27,80,147,YEAR,SOYBEANS,"73,700","75,200","3,242,800",44
1994,"MINNESOTA, SOUTH CENTRAL, WASECA",27,80,161,YEAR,SOYBEANS,"87,300","89,100","3,841,200",44
1994,"MINNESOTA, SOUTH CENTRAL, WATONWAN",27,80,165,YEAR,SOYBEANS,"112,400","115,900","4,833,200",43
1994,"MINNESOTA, SOUTHEAST, DAKOTA",27,90,037,YEAR,SOYBEANS,"57,500","58,000","2,357,500",41
1994,"MINNESOTA, SOUTHEAST, DODGE",27,90,039,YEAR,SOYBEANS,"80,200","80,800","3,448,600",43
1994,"MINNESOTA, SOUTHEAST, FILLMORE",27,90,045,YEAR,SOYBEANS,"57,300","57,900","2,521,200",44
1994,"MINNESOTA, SOUTHEAST, GOODHUE",27,90,049,YEAR,SOYBEANS,"63,500","64,100","2,794,000",44
1994,"MINNESOTA, SOUTHEAST, HOUSTON",27,90,055,YEAR,SOYBEANS,"11,300","11,400","485,900",43
1994,"MINNESOTA, SOUTHEAST, MOWER",27,90,099,YEAR,SOYBEANS,"151,700","154,800","6,674,800",44
1994,"MINNESOTA, SOUTHEAST, OLMSTED",27,90,109,YEAR,SOYBEANS,"46,200","47,000","2,032,800",44
1994,"MINNESOTA, SOUTHEAST, WABASHA",27,90,157,YEAR,SOYBEANS,"20,900","21,200","898,700",43
1994,"MINNESOTA, SOUTHEAST, WINONA",27,90,169,YEAR,SOYBEANS,"13,700","13,800","589,100",43
1994,"MINNESOTA, SOUTHWEST, COTTONWOOD",27,70,033,YEAR,SOYBEANS,"161,600","162,700","6,787,200",42
1994,"MINNESOTA, SOUTHWEST, JACKSON",27,70,063,YEAR,SOYBEANS,"172,300","175,800","6,892,000",40
1994,"MINNESOTA, SOUTHWEST, LINCOLN",27,70,081,YEAR,SOYBEANS,"78,600","79,600","3,065,400",39
1994,"MINNESOTA, SOUTHWEST, LYON",27,70,083,YEAR,SOYBEANS,"163,200","164,400","6,691,200",41
1994,"MINNESOTA, SOUTHWEST, MURRAY",27,70,101,YEAR,SOYBEANS,"165,900","166,600","6,967,800",42
1994,"MINNESOTA, SOUTHWEST, NOBLES",27,70,105,YEAR,SOYBEANS,"183,300","187,400","7,515,300",41
1994,"MINNESOTA, SOUTHWEST, PIPESTONE",27,70,117,YEAR,SOYBEANS,"86,200","88,000","3,448,000",40
1994,"MINNESOTA, SOUTHWEST, REDWOOD",27,70,127,YEAR,SOYBEANS,"227,500","229,100","9,782,500",43
1994,"MINNESOTA, SOUTHWEST, ROCK",27,70,133,YEAR,SOYBEANS,"109,200","109,400","4,804,800",44
1994,"MINNESOTA, WEST CENTRAL, BIG STONE",27,40,011,YEAR,SOYBEANS,"93,300","99,200","2,705,700",29
1994,"MINNESOTA, WEST CENTRAL, CHIPPEWA",27,40,023,YEAR,SOYBEANS,"131,100","133,800","5,112,900",39
1994,"MINNESOTA, WEST CENTRAL, DOUGLAS",27,40,041,YEAR,SOYBEANS,"34,600","35,300","1,107,200",32
1994,"MINNESOTA, WEST CENTRAL, GRANT",27,40,051,YEAR,SOYBEANS,"107,000","108,500","3,531,000",33
1994,"MINNESOTA, WEST CENTRAL, LAC QUI PARLE",27,40,073,YEAR,SOYBEANS,"167,800","171,200","6,040,800",36
1994,"MINNESOTA, WEST CENTRAL, OTTER TAIL",27,40,111,YEAR,SOYBEANS,"71,500","72,700","2,502,500",35
1994,"MINNESOTA, WEST CENTRAL, POPE",27,40,121,YEAR,SOYBEANS,"65,900","67,200","2,240,600",34
1994,"MINNESOTA, WEST CENTRAL, STEVENS",27,40,149,YEAR,SOYBEANS,"118,600","123,700","3,913,800",33
1994,"MINNESOTA, WEST CENTRAL, SWIFT",27,40,151,YEAR,SOYBEANS,"144,500","146,700","5,346,500",37
1994,"MINNESOTA, WEST CENTRAL, TRAVERSE",27,40,155,YEAR,SOYBEANS,"115,000","122,500","3,105,000",27
1994,"MINNESOTA, WEST CENTRAL, WILKIN",27,40,167,YEAR,SOYBEANS,"108,400","110,500","3,685,600",34
1994,"MINNESOTA, WEST CENTRAL, YELLOW MEDICINE",27,40,173,YEAR,SOYBEANS,"177,000","179,700","6,903,000",39
1995,"MINNESOTA, CENTRAL, BENTON",27,50,009,YEAR,SOYBEANS,"13,100","13,300","445,400",34
1995,"MINNESOTA, CENTRAL, CARVER",27,50,019,YEAR,SOYBEANS,"32,000","32,400","1,408,000",44
1995,"MINNESOTA, CENTRAL, KANDIYOHI",27,50,067,YEAR,SOYBEANS,"104,500","105,700","4,389,000",42
1995,"MINNESOTA, CENTRAL, MCLEOD",27,50,085,YEAR,SOYBEANS,"91,000","92,000","4,004,000",44
1995,"MINNESOTA, CENTRAL, MEEKER",27,50,093,YEAR,SOYBEANS,"94,000","95,200","3,666,000",39
1995,"MINNESOTA, CENTRAL, OTHER (COMBINED) COUNTIES",27,50,"   ",YEAR,SOYBEANS,"4,000","4,200","147,800",37
1995,"MINNESOTA, CENTRAL, RENVILLE",27,50,129,YEAR,SOYBEANS,"236,700","239,600","10,414,800",44
1995,"MINNESOTA, CENTRAL, SCOTT",27,50,139,YEAR,SOYBEANS,"27,400","27,700","1,178,200",43
1995,"MINNESOTA, CENTRAL, SHERBURNE",27,50,141,YEAR,SOYBEANS,"11,500","11,700","356,500",31
1995,"MINNESOTA, CENTRAL, SIBLEY",27,50,143,YEAR,SOYBEANS,"122,000","123,700","5,734,000",47
1995,"MINNESOTA, CENTRAL, STEARNS",27,50,145,YEAR,SOYBEANS,"52,600","53,600","1,946,200",37
1995,"MINNESOTA, CENTRAL, TODD",27,50,153,YEAR,SOYBEANS,"9,600","9,700","307,200",32
1995,"MINNESOTA, CENTRAL, WRIGHT",27,50,171,YEAR,SOYBEANS,"58,500","60,000","2,281,500",39
1995,"MINNESOTA, EAST CENTRAL, AITKIN",27,60,001,YEAR,SOYBEANS,"1,600","1,800","52,800",33
1995,"MINNESOTA, EAST CENTRAL, ANOKA",27,60,003,YEAR,SOYBEANS,"3,800","3,900","125,400",33
1995,"MINNESOTA, EAST CENTRAL, CHISAGO",27,60,025,YEAR,SOYBEANS,"13,200","13,700","369,600",28
1995,"MINNESOTA, EAST CENTRAL, HENNEPIN",27,60,053,YEAR,SOYBEANS,"11,500","11,700","460,000",40
1995,"MINNESOTA, EAST CENTRAL, ISANTI",27,60,059,YEAR,SOYBEANS,"22,000","22,300","726,000",33
1995,"MINNESOTA, EAST CENTRAL, KANABEC",27,60,065,YEAR,SOYBEANS,"4,600","4,700","142,600",31
1995,"MINNESOTA, EAST CENTRAL, MILLE LACS",27,60,095,YEAR,SOYBEANS,"7,300","7,500","240,900",33
1995,"MINNESOTA, EAST CENTRAL, OTHER (COMBINED) COUNTIES",27,60,"   ",YEAR,SOYBEANS,300,300,"9,300",31
1995,"MINNESOTA, EAST CENTRAL, PINE",27,60,115,YEAR,SOYBEANS,"4,300","4,800","146,200",34
1995,"MINNESOTA, EAST CENTRAL, WASHINGTON",27,60,163,YEAR,SOYBEANS,"13,200","13,500","541,200",41
1995,"MINNESOTA, NORTHWEST, BECKER",27,10,005,YEAR,SOYBEANS,"39,900","40,500","1,236,900",31
1995,"MINNESOTA, NORTHWEST, CLAY",27,10,027,YEAR,SOYBEANS,"69,900","71,000","2,166,900",31
1995,"MINNESOTA, NORTHWEST, MAHNOMEN",27,10,087,YEAR,SOYBEANS,"12,600","13,500","390,600",31
1995,"MINNESOTA, NORTHWEST, MARSHALL",27,10,089,YEAR,SOYBEANS,"6,300","6,300","170,100",27
1995,"MINNESOTA, NORTHWEST, NORMAN",27,10,107,YEAR,SOYBEANS,"54,000","55,400","1,620,000",30
1995,"MINNESOTA, NORTHWEST, OTHER (COMBINED) COUNTIES",27,10,"   ",YEAR,SOYBEANS,"1,300","1,300","40,300",31
1995,"MINNESOTA, NORTHWEST, POLK",27,10,119,YEAR,SOYBEANS,"35,000","35,500","1,050,000",30
1995,"MINNESOTA, NORTHWEST, RED LAKE",27,10,125,YEAR,SOYBEANS,"5,900","6,000","147,500",25
1995,"MINNESOTA, NORTHWEST, ROSEAU",27,10,135,YEAR,SOYBEANS,900,"1,000","27,000",30
1995,"MINNESOTA, SOUTH CENTRAL, BLUE EARTH",27,80,013,YEAR,SOYBEANS,"175,700","176,800","7,555,100",43
1995,"MINNESOTA, SOUTH CENTRAL, BROWN",27,80,015,YEAR,SOYBEANS,"136,200","138,100","5,992,800",44
1995,"MINNESOTA, SOUTH CENTRAL, FARIBAULT",27,80,043,YEAR,SOYBEANS,"162,000","164,500","7,452,000",46
1995,"MINNESOTA, SOUTH CENTRAL, FREEBORN",27,80,047,YEAR,SOYBEANS,"138,100","139,600","6,352,600",46
1995,"MINNESOTA, SOUTH CENTRAL, LE SUEUR",27,80,079,YEAR,SOYBEANS,"75,600","76,400","3,477,600",46
1995,"MINNESOTA, SOUTH CENTRAL, MARTIN",27,80,091,YEAR,SOYBEANS,"191,500","195,800","8,809,000",46
1995,"MINNESOTA, SOUTH CENTRAL, NICOLLET",27,80,103,YEAR,SOYBEANS,"101,800","103,200","4,886,400",48
1995,"MINNESOTA, SOUTH CENTRAL, RICE",27,80,131,YEAR,SOYBEANS,"45,800","46,300","2,152,600",47
1995,"MINNESOTA, SOUTH CENTRAL, STEELE",27,80,147,YEAR,SOYBEANS,"75,700","77,600","3,482,200",46
1995,"MINNESOTA, SOUTH CENTRAL, WASECA",27,80,161,YEAR,SOYBEANS,"90,200","91,900","4,059,000",45
1995,"MINNESOTA, SOUTH CENTRAL, WATONWAN",27,80,165,YEAR,SOYBEANS,"117,900","120,100","5,423,400",46
1995,"MINNESOTA, SOUTHEAST, DAKOTA",27,90,037,YEAR,SOYBEANS,"57,600","59,300","2,592,000",45
1995,"MINNESOTA, SOUTHEAST, DODGE",27,90,039,YEAR,SOYBEANS,"79,600","80,800","3,741,200",47
1995,"MINNESOTA, SOUTHEAST, FILLMORE",27,90,045,YEAR,SOYBEANS,"64,900","66,000","3,115,200",48
1995,"MINNESOTA, SOUTHEAST, GOODHUE",27,90,049,YEAR,SOYBEANS,"65,800","66,700","3,026,800",46
1995,"MINNESOTA, SOUTHEAST, HOUSTON",27,90,055,YEAR,SOYBEANS,"12,800","13,000","614,400",48
1995,"MINNESOTA, SOUTHEAST, MOWER",27,90,099,YEAR,SOYBEANS,"157,400","158,300","7,397,800",47
1995,"MINNESOTA, SOUTHEAST, OLMSTED",27,90,109,YEAR,SOYBEANS,"46,800","47,700","2,152,800",46
1995,"MINNESOTA, SOUTHEAST, WABASHA",27,90,157,YEAR,SOYBEANS,"22,600","23,100","1,084,800",48
1995,"MINNESOTA, SOUTHEAST, WINONA",27,90,169,YEAR,SOYBEANS,"14,200","14,400","695,800",49
1995,"MINNESOTA, SOUTHWEST, COTTONWOOD",27,70,033,YEAR,SOYBEANS,"171,200","173,100","7,361,600",43
1995,"MINNESOTA, SOUTHWEST, JACKSON",27,70,063,YEAR,SOYBEANS,"181,300","185,600","7,614,600",42
1995,"MINNESOTA, SOUTHWEST, LINCOLN",27,70,081,YEAR,SOYBEANS,"82,500","84,600","2,557,500",31
1995,"MINNESOTA, SOUTHWEST, LYON",27,70,083,YEAR,SOYBEANS,"173,900","176,500","6,434,300",37
1995,"MINNESOTA, SOUTHWEST, MURRAY",27,70,101,YEAR,SOYBEANS,"179,700","182,700","7,188,000",40
1995,"MINNESOTA, SOUTHWEST, NOBLES",27,70,105,YEAR,SOYBEANS,"188,800","193,400","7,740,800",41
1995,"MINNESOTA, SOUTHWEST, PIPESTONE",27,70,117,YEAR,SOYBEANS,"95,200","97,500","3,332,000",35
