YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE"
2000,"ILLINOIS, CENTRAL, DE WITT",17,40,039,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","97,900","98,000","4,601,300",47
2000,"ILLINOIS, CENTRAL, LOGAN",17,40,107,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","162,700","163,000","7,646,900",47
2000,"ILLINOIS, CENTRAL, MACON",17,40,115,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","147,800","148,000","7,242,200",49
2000,"ILLINOIS, CENTRAL, MARSHALL",17,40,123,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","80,800","81,000","3,716,800",46
2000,"ILLINOIS, CENTRAL, MASON",17,40,125,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","97,900","98,000","4,307,600",44
2000,"ILLINOIS, CENTRAL, MCLEAN",17,40,113,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","310,700","311,000","14,602,900",47
2000,"ILLINOIS, CENTRAL, MENARD",17,40,129,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","75,900","76,000","3,263,700",43
2000,"ILLINOIS, CENTRAL, PEORIA",17,40,143,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","88,800","89,000","4,084,800",46
2000,"ILLINOIS, CENTRAL, STARK",17,40,175,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","69,900","70,000","3,425,100",49
2000,"ILLINOIS, CENTRAL, TAZEWELL",17,40,179,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","125,800","126,000","6,038,400",48
2000,"ILLINOIS, CENTRAL, WOODFORD",17,40,203,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","128,800","129,000","6,182,400",48
2000,"ILLINOIS, EAST SOUTHEAST, CLARK",17,70,023,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","101,900","102,000","4,483,600",44
2000,"ILLINOIS, EAST SOUTHEAST, CLAY",17,70,025,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","113,500","114,000","4,653,500",41
2000,"ILLINOIS, EAST SOUTHEAST, COLES",17,70,029,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","111,900","112,000","5,595,000",50
2000,"ILLINOIS, EAST SOUTHEAST, CRAWFORD",17,70,033,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","90,700","91,000","3,809,400",42
2000,"ILLINOIS, EAST SOUTHEAST, CUMBERLAND",17,70,035,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","72,600","74,000","2,976,600",41
2000,"ILLINOIS, EAST SOUTHEAST, DOUGLAS",17,70,041,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","117,900","118,000","5,659,200",48
2000,"ILLINOIS, EAST SOUTHEAST, EDGAR",17,70,045,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","153,900","154,000","7,079,400",46
2000,"ILLINOIS, EAST SOUTHEAST, EFFINGHAM",17,70,049,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","97,100","98,000","3,884,000",40
2000,"ILLINOIS, EAST SOUTHEAST, FAYETTE",17,70,051,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","128,500","132,000","5,268,500",41
2000,"ILLINOIS, EAST SOUTHEAST, JASPER",17,70,079,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","118,500","120,000","5,095,500",43
2000,"ILLINOIS, EAST SOUTHEAST, LAWRENCE",17,70,101,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","77,700","78,000","3,263,400",42
2000,"ILLINOIS, EAST SOUTHEAST, MARION",17,70,121,YEAR,SOYBEANS,"ALL PRODUCTION PRACTICES","99,200","100,000","4,067,200",41
