YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"ALL UTILIZATION PRACTICES in $ / BU"
1913,ILLINOIS,17,"  ","   ",OCT,SOYBEANS,1.62
1913,ILLINOIS,17,"  ","   ",NOV,SOYBEANS,2.35
1913,ILLINOIS,17,"  ","   ",DEC,SOYBEANS,2.33
1914,ILLINOIS,17,"  ","   ",JAN,SOYBEANS,1.5
1914,ILLINOIS,17,"  ","   ",FEB,SOYBEANS,2.4
1914,ILLINOIS,17,"  ","   ",NOV,SOYBEANS,2.75
1914,ILLINOIS,17,"  ","   ",DEC,SOYBEANS,2.5
1914,IOWA,19,"  ","   ",OCT,SOYBEANS,1.5
1915,ILLINOIS,17,"  ","   ",JAN,SOYBEANS,2.5
1915,ILLINOIS,17,"  ","   ",FEB,SOYBEANS,2.58
1915,ILLINOIS,17,"  ","   ",OCT,SOYBEANS,1.6
1915,ILLINOIS,17,"  ","   ",DEC,SOYBEANS,2.33
1916,ILLINOIS,17,"  ","   ",JAN,SOYBEANS,2
1916,ILLINOIS,17,"  ","   ",FEB,SOYBEANS,3
1916,ILLINOIS,17,"  ","   ",OCT,SOYBEANS,2
1916,ILLINOIS,17,"  ","   ",NOV,SOYBEANS,2
1917,ILLINOIS,17,"  ","   ",FEB,SOYBEANS,2.7
1917,ILLINOIS,17,"  ","   ",DEC,SOYBEANS,3.5
1918,ILLINOIS,17,"  ","   ",JAN,SOYBEANS,3.4
1918,ILLINOIS,17,"  ","   ",FEB,SOYBEANS,3.35
1918,ILLINOIS,17,"  ","   ",OCT,SOYBEANS,4
1918,ILLINOIS,17,"  ","   ",DEC,SOYBEANS,3.6
1919,ILLINOIS,17,"  ","   ",JAN,SOYBEANS,4
1919,ILLINOIS,17,"  ","   ",FEB,SOYBEANS,4
1919,ILLINOIS,17,"  ","   ",NOV,SOYBEANS,4.2
1919,ILLINOIS,17,"  ","   ",DEC,SOYBEANS,4.8
1920,ILLINOIS,17,"  ","   ",JAN,SOYBEANS,5
1920,ILLINOIS,17,"  ","   ",FEB,SOYBEANS,5.8
1920,ILLINOIS,17,"  ","   ",NOV,SOYBEANS,3.92
1920,ILLINOIS,17,"  ","   ",DEC,SOYBEANS,3
1921,ILLINOIS,17,"  ","   ",JAN,SOYBEANS,2.17
1921,ILLINOIS,17,"  ","   ",FEB,SOYBEANS,2.75
1921,ILLINOIS,17,"  ","   ",OCT,SOYBEANS,2.38
1921,ILLINOIS,17,"  ","   ",NOV,SOYBEANS,1.42
1921,ILLINOIS,17,"  ","   ",DEC,SOYBEANS,2.75
1922,ILLINOIS,17,"  ","   ",JAN,SOYBEANS,1.67
1922,ILLINOIS,17,"  ","   ",FEB,SOYBEANS,2.07
