"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","236","Soybeans","2017","2017","tonnes","6.8154559E7","1"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","56","Maize","2017","2017","tonnes","2.9265911E7","2"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","162","Sugar Raw Centrifugal","2017","2017","tonnes","2.3331299E7","3"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","238","Cake, soybeans","2017","2017","tonnes","1.4177056E7","4"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","164","Sugar refined","2017","2017","tonnes","5370476.0","5"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","1058","Meat, chicken","2017","2017","tonnes","3944215.0","6"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","656","Coffee, green","2017","2017","tonnes","1647811.0","7"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","237","Oil, soybean","2017","2017","tonnes","1342511.0","8"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","491","Juice, orange, single strength","2017","2017","tonnes","1335233.0","9"
"TP","Crops and livestock products","21","Brazil","5910","Export Quantity","870","Meat, cattle, boneless (beef & veal)","2017","2017","tonnes","1193915.0","10"
