Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1970","1970","hg/ha","11439","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1971","1971","hg/ha","12102","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1972","1972","hg/ha","14705","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1973","1973","hg/ha","13863","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1974","1974","hg/ha","15314","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1975","1975","hg/ha","16985","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1976","1976","hg/ha","17498","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1977","1977","hg/ha","17699","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1978","1978","hg/ha","12260","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1979","1979","hg/ha","12403","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1980","1980","hg/ha","17273","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1981","1981","hg/ha","17653","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1982","1982","hg/ha","15647","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1983","1983","hg/ha","17921","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1984","1984","hg/ha","16496","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1985","1985","hg/ha","18002","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1986","1986","hg/ha","14522","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1987","1987","hg/ha","18595","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1988","1988","hg/ha","17124","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1989","1989","hg/ha","19714","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1990","1990","hg/ha","17322","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1991","1991","hg/ha","15533","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1992","1992","hg/ha","20352","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1993","1993","hg/ha","21241","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1994","1994","hg/ha","21632","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1995","1995","hg/ha","21998","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1996","1996","hg/ha","22493","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1997","1997","hg/ha","22977","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1998","1998","hg/ha","23533","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","1999","1999","hg/ha","23724","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2000","2000","hg/ha","24033","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2001","2001","hg/ha","27105","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2002","2002","hg/ha","25739","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2003","2003","hg/ha","28027","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2004","2004","hg/ha","23005","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2005","2005","hg/ha","22303","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2006","2006","hg/ha","23796","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2007","2007","hg/ha","28133","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2008","2008","hg/ha","28162","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2009","2009","hg/ha","26365","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2010","2010","hg/ha","29475","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2011","2011","hg/ha","31214","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2012","2012","hg/ha","26366","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2013","2013","hg/ha","29285","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2014","2014","hg/ha","28659","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2015","2015","hg/ha","30286","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2016","2016","hg/ha","29049","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","236","Soybeans","2017","2017","hg/ha","33769","Fc","Calculated data"
