"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"QC","Crops","231","United States of America","5510","Production","56","Maize","2017","2017","tonnes","3.7096039E8","1"
"QC","Crops","231","United States of America","5510","Production","236","Soybeans","2017","2017","tonnes","1.1951849E8","2"
"QL","Livestock Primary","231","United States of America","5510","Production","882","Milk, whole fresh cow","2017","2017","tonnes","9.7734736E7","3"
"QC","Crops","231","United States of America","5510","Production","15","Wheat","2017","2017","tonnes","4.737088E7","4"
"QC","Crops","231","United States of America","5510","Production","157","Sugar beet","2017","2017","tonnes","3.20463E7","5"
"QC","Crops","231","United States of America","5510","Production","156","Sugar cane","2017","2017","tonnes","3.015301E7","6"
"QC","Crops","231","United States of America","5510","Production","116","Potatoes","2017","2017","tonnes","2.001735E7","7"
"QL","Livestock Primary","231","United States of America","5510","Production","1058","Meat, chicken","2017","2017","tonnes","1.9140744E7","8"
"QC","Crops","231","United States of America","5510","Production","328","Seed cotton","2017","2017","tonnes","1.2E7","9"
"QL","Livestock Primary","231","United States of America","5510","Production","867","Meat, cattle","2017","2017","tonnes","1.1907239E7","10"
