Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1970","1970","hg/ha","17941","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1971","1971","hg/ha","18522","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1972","1972","hg/ha","18706","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1973","1973","hg/ha","18696","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1974","1974","hg/ha","15933","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1975","1975","hg/ha","19421","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1976","1976","hg/ha","17543","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1977","1977","hg/ha","20552","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1978","1978","hg/ha","19741","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1979","1979","hg/ha","21614","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1980","1980","hg/ha","17827","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1981","1981","hg/ha","20331","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1982","1982","hg/ha","21213","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1983","1983","hg/ha","17594","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1984","1984","hg/ha","18930","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1985","1985","hg/ha","22923","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1986","1986","hg/ha","22411","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1987","1987","hg/ha","22794","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1988","1988","hg/ha","18155","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1989","1989","hg/ha","21783","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1990","1990","hg/ha","22920","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1991","1991","hg/ha","23029","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1992","1992","hg/ha","25295","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1993","1993","hg/ha","21941","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1994","1994","hg/ha","27813","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1995","1995","hg/ha","23759","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1996","1996","hg/ha","25269","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1997","1997","hg/ha","26164","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1998","1998","hg/ha","26169","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","1999","1999","hg/ha","24634","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2000","2000","hg/ha","25614","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2001","2001","hg/ha","26639","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2002","2002","hg/ha","25567","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2003","2003","hg/ha","22769","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2004","2004","hg/ha","28405","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2005","2005","hg/ha","28961","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2006","2006","hg/ha","28817","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2007","2007","hg/ha","28067","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2008","2008","hg/ha","26718","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2009","2009","hg/ha","29595","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2010","2010","hg/ha","29243","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2011","2011","hg/ha","28232","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2012","2012","hg/ha","26867","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2013","2013","hg/ha","29615","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2014","2014","hg/ha","31977","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2015","2015","hg/ha","32289","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2016","2016","hg/ha","34937","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","236","Soybeans","2017","2017","hg/ha","32990","Fc","Calculated data"
