YEAR,LOCATION,STATE_ANSI,AREA_OPERATED_IN_ACRES,AREA_OPERATED_IN_ACRES_/_OPERATION,OPERATIONS_IN_OPERATIONS,AREA_HARVESTED_IN_ACRES,AREA_PLANTED_IN_ACRES,PRODUCTION_IN_BU,PRODUCTION_IN_$,PRICE_RECEIVED_IN_$_/_BU,CONDITION_IN_PCT_VERY_POOR,CONDITION_IN_PCT_GOOD,CONDITION_IN_PCT_FAIR,CONDITION_IN_PCT_POOR,CONDITION_IN_PCT_EXCELLENT,CONDITION_5_YEAR_AVG_IN_PCT_EXCELLENT,CONDITION_5_YEAR_AVG_IN_PCT_GOOD,CONDITION_5_YEAR_AVG_IN_PCT_POOR,CONDITION_5_YEAR_AVG_IN_PCT_VERY_POOR,CONDITION_5_YEAR_AVG_IN_PCT_FAIR,CONDITION_PREVIOUS_YEAR_IN_PCT_POOR,CONDITION_PREVIOUS_YEAR_IN_PCT_GOOD,CONDITION_PREVIOUS_YEAR_IN_PCT_VERY_POOR,CONDITION_PREVIOUS_YEAR_IN_PCT_EXCELLENT,CONDITION_PREVIOUS_YEAR_IN_PCT_FAIR,YIELD_IN_BU_/_ACRE,NITROGEN,PHOSPHATE,POTASH,SULFUR,APPLICATIONS_IN_LB_FERTILIZER_NITROGEN,APPLICATIONS_IN_LB_FERTILIZER_PHOSPHATE,APPLICATIONS_IN_LB_FERTILIZER_POTASH,APPLICATIONS_IN_LB_FERTILIZER_SULFUR,APPLICATIONS_IN_LB_/_ACRE_/_APPLICATION_AVG_FERTILIZER_NITROGEN,APPLICATIONS_IN_LB_/_ACRE_/_APPLICATION_AVG_FERTILIZER_PHOSPHATE,APPLICATIONS_IN_LB_/_ACRE_/_APPLICATION_AVG_FERTILIZER_POTASH,APPLICATIONS_IN_LB_/_ACRE_/_APPLICATION_AVG_FERTILIZER_SULFUR,APPLICATIONS_IN_LB_/_ACRE_/_YEAR_AVG_FERTILIZER_NITROGEN,APPLICATIONS_IN_LB_/_ACRE_/_YEAR_AVG_FERTILIZER_PHOSPHATE,APPLICATIONS_IN_LB_/_ACRE_/_YEAR_AVG_FERTILIZER_POTASH,APPLICATIONS_IN_LB_/_ACRE_/_YEAR_AVG_FERTILIZER_SULFUR,APPLICATIONS_IN_NUMBER_AVG_FERTILIZER_NITROGEN,APPLICATIONS_IN_NUMBER_AVG_FERTILIZER_PHOSPHATE,APPLICATIONS_IN_NUMBER_AVG_FERTILIZER_POTASH,APPLICATIONS_IN_NUMBER_AVG_FERTILIZER_SULFUR,TREATED_IN_PCT_OF_AREA_PLANTED_AVG_FERTILIZER_NITROGEN,TREATED_IN_PCT_OF_AREA_PLANTED_AVG_FERTILIZER_PHOSPHATE,TREATED_IN_PCT_OF_AREA_PLANTED_AVG_FERTILIZER_POTASH,TREATED_IN_PCT_OF_AREA_PLANTED_AVG_FERTILIZER_SULFUR
1996,ALABAMA,1,9700000.0,198,49000,305000.0,320000.0,10370000.0,76738000.0,7.4,1.0,63.0,22.0,2.0,9.5,,,,,,,,,,,34.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1996,ARKANSAS,5,14900000.0,301,49500,3600000.0,3650000.0,109800000.0,755424000.0,7.36,3.0,42.5,28.5,12.0,14.0,,,,,,,,,,,30.5,1,1,1,0,8200000.0,76400000.0,90500000.0,0.0,26,46,60,0,26,48,60,0,1.0,1.0,1.0,0.0,9,45,43,0
1996,DELAWARE,10,590000.0,211,2800,217000.0,220000.0,7595000.0,54684000.0,7.2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,35.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1996,FLORIDA,12,10700000.0,238,45000,45000.0,47000.0,1125000.0,7875000.0,7.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,25.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1996,GEORGIA,13,11400000.0,233,49000,380000.0,400000.0,7980000.0,53306000.0,6.87,2.0,49.0,30.0,7.0,6.5,,,,,,,,,,,21.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1996,ILLINOIS,17,27900000.0,353,79000,9850000.0,9900000.0,398925000.0,3011884000.0,7.55,5.0,34.5,40.5,15.0,5.5,,,,,,,,,,,40.5,1,1,1,0,32400000.0,128300000.0,329600000.0,0.0,22,55,99,0,22,56,99,0,1.0,1.0,1.0,0.0,15,23,34,0
1996,INDIANA,18,15600000.0,236,66000,5300000.0,5350000.0,230550000.0,1519325000.0,7.34,4.0,36.0,42.0,15.5,4.0,,,,,,,,,,,43.5,1,1,1,0,37900000.0,79100000.0,240700000.0,0.0,26,44,99,0,31,45,102,0,1.2,1.0,1.0,0.0,23,33,44,0
1996,IOWA,19,33000000.0,333,99000,9450000.0,9500000.0,415800000.0,3060288000.0,7.36,1.0,52.5,26.0,6.0,15.0,,,,,,,,,,,44.0,1,1,1,0,19500000.0,55200000.0,99300000.0,0.0,26,49,75,0,26,49,76,0,1.0,1.0,1.0,0.0,8,12,14,0
1996,KANSAS,20,47500000.0,731,65000,2350000.0,2400000.0,86950000.0,558219000.0,7.17,1.0,60.0,16.0,2.0,22.0,,,,,,,,,,,37.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1996,KENTUCKY,21,14000000.0,152,92000,1180000.0,1200000.0,44840000.0,333161000.0,7.43,1.0,55.0,21.0,4.0,16.5,,,,,,,,,,,38.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
