YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"CONDITION in PCT POOR","CONDITION in PCT FAIR","CONDITION in PCT EXCELLENT","CONDITION in PCT VERY POOR","CONDITION in PCT GOOD","CONDITION, 5 YEAR AVG in PCT GOOD","CONDITION, 5 YEAR AVG in PCT VERY POOR","CONDITION, 5 YEAR AVG in PCT FAIR","CONDITION, 5 YEAR AVG in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT POOR","CONDITION, PREVIOUS YEAR in PCT FAIR","CONDITION, PREVIOUS YEAR in PCT GOOD","CONDITION, PREVIOUS YEAR in PCT POOR","CONDITION, PREVIOUS YEAR in PCT VERY POOR","CONDITION, PREVIOUS YEAR in PCT EXCELLENT"
1986,ILLINOIS,17,"  ","   ","WEEK #25",SOYBEANS," ",16,25," ",59," "," "," "," "," "," "," "," "," "," "
1986,ILLINOIS,17,"  ","   ","WEEK #26",SOYBEANS," ",23,19," ",58," "," "," "," "," "," "," "," "," "," "
1986,ILLINOIS,17,"  ","   ","WEEK #27",SOYBEANS," ",12,33," ",55," "," "," "," "," "," "," "," "," "," "
1986,ILLINOIS,17,"  ","   ","WEEK #28",SOYBEANS," ",11,38," ",51," "," "," "," "," "," "," "," "," "," "
1986,ILLINOIS,17,"  ","   ","WEEK #29",SOYBEANS," ",5,36," ",59," "," "," "," "," "," "," "," "," "," "
1986,ILLINOIS,17,"  ","   ","WEEK #30",SOYBEANS," ",8,35," ",57," "," "," "," "," "," "," "," "," "," "
1986,ILLINOIS,17,"  ","   ","WEEK #31",SOYBEANS," ",5,32," ",63," "," "," "," "," "," "," "," "," "," "
1986,ILLINOIS,17,"  ","   ","WEEK #32",SOYBEANS," ",11,37," ",52," "," "," "," "," "," "," "," "," "," "
1986,ILLINOIS,17,"  ","   ","WEEK #33",SOYBEANS," ",7,35," ",58," "," "," "," "," "," "," "," "," "," "
1986,ILLINOIS,17,"  ","   ","WEEK #34",SOYBEANS," ",8,27," ",65," "," "," "," "," "," "," "," "," "," "
1986,ILLINOIS,17,"  ","   ","WEEK #35",SOYBEANS," ",7,30," ",63," "," "," "," "," "," "," "," "," "," "
1986,ILLINOIS,17,"  ","   ","WEEK #36",SOYBEANS," ",11,25," ",64," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #23",SOYBEANS,2,26,4," ",68," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #24",SOYBEANS,2,25,7," ",66," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #25",SOYBEANS,1,21,7," ",71," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #26",SOYBEANS,2,24,12," ",62," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #27",SOYBEANS," ",19,11," ",70," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #28",SOYBEANS,1,18,15," ",66," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #29",SOYBEANS," ",14,15,1,70," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #30",SOYBEANS," ",16,22," ",62," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #31",SOYBEANS," ",17,24,1,58," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #32",SOYBEANS,1,18,26," ",55," "," "," "," "," "," "," "," "," "," "
1986,IOWA,19,"  ","   ","WEEK #33",SOYBEANS," ",9,25,1,65," "," "," "," "," "," "," "," "," "," "
