YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"WEEK ENDING","PROGRESS in PCT PLANTED","PROGRESS, 5 YEAR AVG in PCT PLANTED","PROGRESS, PREVIOUS YEAR in PCT PLANTED","PROGRESS in PCT EMERGED","PROGRESS, 5 YEAR AVG in PCT EMERGED","PROGRESS, PREVIOUS YEAR in PCT EMERGED","PROGRESS in PCT BLOOMING","PROGRESS, 5 YEAR AVG in PCT BLOOMING","PROGRESS, PREVIOUS YEAR in PCT BLOOMING","PROGRESS in PCT SETTING PODS","PROGRESS, 5 YEAR AVG in PCT SETTING PODS","PROGRESS, PREVIOUS YEAR in PCT SETTING PODS","PROGRESS in PCT COLORING","PROGRESS, 5 YEAR AVG in PCT COLORING","PROGRESS, PREVIOUS YEAR in PCT COLORING","PROGRESS in PCT DROPPING LEAVES","PROGRESS, 5 YEAR AVG in PCT DROPPING LEAVES","PROGRESS, PREVIOUS YEAR in PCT DROPPING LEAVES","PROGRESS in PCT HARVESTED","PROGRESS, 5 YEAR AVG in PCT HARVESTED","PROGRESS, PREVIOUS YEAR in PCT HARVESTED","PROGRESS in PCT MATURE","PROGRESS, PREVIOUS YEAR in PCT MATURE"
1980,ILLINOIS,17,"  ","   ","WEEK #19",SOYBEANS,1980-05-11,29,10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,ILLINOIS,17,"  ","   ","WEEK #20",SOYBEANS,1980-05-18,51,31," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,ILLINOIS,17,"  ","   ","WEEK #21",SOYBEANS,1980-05-25,73,57," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,ILLINOIS,17,"  ","   ","WEEK #22",SOYBEANS,1980-06-01,73,57," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,ILLINOIS,17,"  ","   ","WEEK #23",SOYBEANS,1980-06-08,96,87," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,ILLINOIS,17,"  ","   ","WEEK #24",SOYBEANS,1980-06-15,99,95," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,ILLINOIS,17,"  ","   ","WEEK #25",SOYBEANS,1980-06-22,99,99," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,ILLINOIS,17,"  ","   ","WEEK #26",SOYBEANS,1980-06-29,99,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,IOWA,19,"  ","   ","WEEK #19",SOYBEANS,1980-05-11,13,8," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,IOWA,19,"  ","   ","WEEK #20",SOYBEANS,1980-05-18,29,35," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,IOWA,19,"  ","   ","WEEK #21",SOYBEANS,1980-05-25,73,68," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,IOWA,19,"  ","   ","WEEK #22",SOYBEANS,1980-06-01,92,86," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,IOWA,19,"  ","   ","WEEK #23",SOYBEANS,1980-06-08,98,95," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,IOWA,19,"  ","   ","WEEK #24",SOYBEANS,1980-06-15,100,99," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,IOWA,19,"  ","   ","WEEK #25",SOYBEANS,1980-06-22,100,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,IOWA,19,"  ","   ","WEEK #26",SOYBEANS,1980-06-29,100,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,MISSISSIPPI,28,"  ","   ","WEEK #19",SOYBEANS,1980-05-11,7,11," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,MISSISSIPPI,28,"  ","   ","WEEK #20",SOYBEANS,1980-05-18,21,21," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,MISSISSIPPI,28,"  ","   ","WEEK #21",SOYBEANS,1980-05-25,25,34," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,MISSISSIPPI,28,"  ","   ","WEEK #22",SOYBEANS,1980-06-01,43,48," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,MISSISSIPPI,28,"  ","   ","WEEK #23",SOYBEANS,1980-06-08,65,66," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,MISSISSIPPI,28,"  ","   ","WEEK #24",SOYBEANS,1980-06-15,78,72," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,MISSISSIPPI,28,"  ","   ","WEEK #25",SOYBEANS,1980-06-22,83,83," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1980,MISSISSIPPI,28,"  ","   ","WEEK #26",SOYBEANS,1980-06-29,88,92," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1981,ILLINOIS,17,"  ","   ","WEEK #19",SOYBEANS,1981-05-10,7,12," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
