YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"PRICE RECEIVED in $ / BU"
1924,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,2.75
1925,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,2.65
1926,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,2.54
1927,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,2.16
1928,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,2.04
1929,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,1.88
1930,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,1.32
1931,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,0.55
1932,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,0.56
1933,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,1.02
1934,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,1.15
1935,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,0.67
1936,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,1.29
1937,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,0.82
1938,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,0.67
1939,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,0.81
1940,ILLINOIS,17,"  ","   ","MARKETING YEAR",SOYBEANS,0.85
1940,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,0.88
1940,MINNESOTA,27,"  ","   ","MARKETING YEAR",SOYBEANS,0.98
1941,ILLINOIS,17,"  ","   ","MARKETING YEAR",SOYBEANS,1.54
1941,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,1.52
1941,MINNESOTA,27,"  ","   ","MARKETING YEAR",SOYBEANS,1.51
1942,ILLINOIS,17,"  ","   ","MARKETING YEAR",SOYBEANS,1.6
1942,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,1.58
1942,MINNESOTA,27,"  ","   ","MARKETING YEAR",SOYBEANS,1.49
1943,ILLINOIS,17,"  ","   ","MARKETING YEAR",SOYBEANS,1.8
1943,IOWA,19,"  ","   ","MARKETING YEAR",SOYBEANS,1.8
1943,MINNESOTA,27,"  ","   ","MARKETING YEAR",SOYBEANS,1.8
