,LOCATION,YEAR,Cooling_degree_days,Heating_degree_days,PDSI,PHDI,Palmer-Z-index,Crop Moisture Stress Index (CMSI)
0,ALABAMA,1996,1717,2997,1.8325,1.8325,0.31,8.025
1,ARIZONA,1996,3074,1746,-4.1375,-4.1375,-1.63,8.025
2,ARKANSAS,1996,1595,3734,-0.0008333333333332416,-0.5041666666666665,0.46,8.025
3,CALIFORNIA,1996,941,2648,2.4599999999999995,2.4599999999999995,1.04,8.025
4,COLORADO,1996,272,7193,1.4366666666666663,1.4366666666666663,0.35,8.025
5,CONNECTICUT,1996,466,6273,2.060833333333333,2.060833333333333,1.25,8.025
6,DELAWARE,1996,892,5015,2.5308333333333337,2.09,1.65,8.025
7,FLORIDA,1996,3218,799,0.6291666666666667,1.3333333333333333,0.12,8.025
8,GEORGIA,1996,1555,3204,0.10250000000000002,-0.061666666666666536,-0.2,8.025
9,IDAHO,1996,416,7087,3.4716666666666662,3.4716666666666662,1.0,8.025
10,ILLINOIS,1996,698,6879,0.6316666666666667,0.5016666666666666,0.35,8.025
11,INDIANA,1996,753,6311,1.5558333333333332,1.5558333333333332,1.22,8.025
12,IOWA,1996,617,7749,0.68,0.68,0.61,8.025
13,KANSAS,1996,1259,5418,0.2583333333333333,-0.009166666666666878,0.33,8.025
14,KENTUCKY,1996,1034,4897,1.9175,1.9175,1.35,8.025
15,LOUISIANA,1996,2444,1803,-0.17500000000000004,-0.6683333333333334,-0.22,8.025
16,MAINE,1996,161,8068,2.766666666666667,2.766666666666667,1.25,8.025
17,MARYLAND,1996,892,5135,3.2299999999999986,3.2299999999999986,1.94,8.025
18,MASSACHUSETTS,1996,392,6535,2.8441666666666663,2.8441666666666663,1.62,8.025
19,MICHIGAN,1996,446,7510,1.2433333333333334,1.3208333333333333,0.86,8.025
20,MINNESOTA,1996,361,9868,2.625,2.625,0.8,8.025
21,MISSISSIPPI,1996,1972,2604,0.08750000000000001,-0.05083333333333332,-0.08,8.025
22,MISSOURI,1996,1057,5625,0.8441666666666666,0.5983333333333333,0.71,8.025
23,MONTANA,1996,194,9541,3.635,3.635,0.93,8.025
24,NEBRASKA,1996,765,7180,2.504166666666667,2.504166666666667,0.9,8.025
25,NEVADA,1996,2256,3291,-0.2783333333333334,1.606666666666667,0.21,8.025
26,NEW HAMPSHIRE,1996,236,7804,3.0558333333333336,3.0558333333333336,1.44,8.025
27,NEW JERSEY,1996,647,5679,2.45,2.45,1.53,8.025
28,NEW MEXICO,1996,997,4384,-0.8316666666666667,-2.7383333333333333,-0.77,8.025
29,NEW YORK,1996,465,6515,2.8716666666666666,2.8716666666666666,1.64,8.025
30,NORTH CAROLINA,1996,1281,3824,2.055833333333333,2.055833333333333,0.97,8.025
