,Unnamed: 0,LOCATION,YEAR,Cooling_degree_days,Heating_degree_days,PDSI,PHDI,Palmer-Z-index,Crop Moisture Stress Index (CMSI),Avg_Temp_Season_1,Avg_Temp_Season_2,Avg_Temp_Season_3,Avg_Temp_Season_4,Max_Temp_Season_1,Max_Temp_Season_2,Max_Temp_Season_3,Max_Temp_Season_4,Min_Temp_Season_1,Min_Temp_Season_2,Min_Temp_Season_3,Min_Temp_Season_4
0,0,ALABAMA,1996,1717,2997,1.8325,1.8325,0.31,8.025,47.23333333333333,69.89999999999999,76.53333333333333,54.833333333333336,59.1,82.16666666666667,87.10000000000001,66.39999999999999,35.36666666666667,57.6,66.0,43.366666666666674
1,1,ARIZONA,1996,3074,1746,-4.1375,-4.1375,-1.63,8.025,48.73333333333334,69.16666666666667,77.60000000000001,52.0,62.666666666666664,85.80000000000001,91.3,65.7,34.766666666666666,52.6,63.866666666666674,38.23333333333333
2,2,ARKANSAS,1996,1595,3734,-0.0008333333333332416,-0.5041666666666665,0.46,8.025,42.93333333333334,68.93333333333334,75.60000000000001,50.800000000000004,54.73333333333333,80.0,86.06666666666668,60.93333333333334,31.099999999999998,57.833333333333336,65.13333333333334,40.63333333333333
3,3,CALIFORNIA,1996,941,2648,2.4599999999999995,2.4599999999999995,1.04,8.025,48.63333333333333,63.23333333333333,74.4,51.96666666666667,58.9,77.0,89.33333333333333,62.56666666666667,38.333333333333336,49.43333333333334,59.43333333333334,41.43333333333334
4,4,COLORADO,1996,272,7193,1.4366666666666663,1.4366666666666663,0.35,8.025,29.666666666666668,54.199999999999996,63.29999999999999,35.93333333333333,43.63333333333333,68.89999999999999,77.49999999999999,48.93333333333334,15.733333333333334,39.46666666666666,49.06666666666666,22.900000000000002
5,5,CONNECTICUT,1996,466,6273,2.060833333333333,2.060833333333333,1.25,8.025,28.666666666666668,56.46666666666666,67.16666666666667,41.199999999999996,38.333333333333336,67.4,76.66666666666667,50.03333333333334,18.966666666666665,45.5,57.70000000000001,32.36666666666667
6,6,DELAWARE,1996,892,5015,2.5308333333333337,2.09,1.65,8.025,35.666666666666664,62.06666666666666,71.83333333333333,46.53333333333333,44.800000000000004,72.10000000000001,81.43333333333334,55.800000000000004,26.566666666666666,52.06666666666666,62.23333333333334,37.166666666666664
7,7,FLORIDA,1996,3218,799,0.6291666666666667,1.3333333333333333,0.12,8.025,58.63333333333333,74.66666666666667,80.63333333333334,65.63333333333334,70.76666666666667,85.59999999999998,90.10000000000001,76.43333333333332,46.53333333333333,63.699999999999996,71.10000000000001,54.79999999999999
8,8,GEORGIA,1996,1555,3204,0.10250000000000002,-0.061666666666666536,-0.2,8.025,48.26666666666667,70.23333333333333,77.06666666666666,55.03333333333334,60.333333333333336,82.86666666666666,87.43333333333332,67.0,36.199999999999996,57.633333333333326,66.7,43.06666666666666
9,9,IDAHO,1996,416,7087,3.4716666666666662,3.4716666666666662,1.0,8.025,28.599999999999998,48.73333333333333,61.333333333333336,34.03333333333333,37.96666666666667,61.13333333333333,77.2,43.03333333333333,19.233333333333334,36.300000000000004,45.43333333333334,25.0
10,10,ILLINOIS,1996,698,6879,0.6316666666666667,0.5016666666666666,0.35,8.025,29.766666666666666,60.56666666666666,70.10000000000001,40.06666666666666,39.400000000000006,71.13333333333334,81.2,49.06666666666666,20.066666666666666,49.93333333333334,59.03333333333333,31.100000000000005
11,11,INDIANA,1996,753,6311,1.5558333333333332,1.5558333333333332,1.22,8.025,29.899999999999995,59.9,69.36666666666666,41.03333333333333,39.23333333333333,70.53333333333333,80.46666666666665,49.866666666666674,20.666666666666668,49.29999999999999,58.29999999999999,32.266666666666666
12,12,IOWA,1996,617,7749,0.68,0.68,0.61,8.025,22.96666666666667,57.199999999999996,67.06666666666666,33.43333333333334,33.199999999999996,67.86666666666666,77.73333333333333,42.4,12.766666666666666,46.56666666666666,56.36666666666667,24.5
13,13,KANSAS,1996,1259,5418,0.2583333333333333,-0.009166666666666878,0.33,8.025,33.666666666666664,64.36666666666667,72.10000000000001,42.199999999999996,47.76666666666667,77.53333333333335,83.36666666666666,54.133333333333326,19.5,51.199999999999996,60.833333333333336,30.26666666666667
14,14,KENTUCKY,1996,1034,4897,1.9175,1.9175,1.35,8.025,36.266666666666666,63.800000000000004,71.43333333333334,46.1,46.26666666666667,75.43333333333334,82.33333333333333,56.26666666666666,26.166666666666668,52.23333333333333,60.53333333333333,35.9
15,15,LOUISIANA,1996,2444,1803,-0.17500000000000004,-0.6683333333333334,-0.22,8.025,52.1,73.26666666666667,79.3,59.96666666666667,63.70000000000001,83.83333333333334,88.86666666666667,70.5,40.53333333333333,62.666666666666664,69.66666666666667,49.43333333333334
16,16,MAINE,1996,161,8068,2.766666666666667,2.766666666666667,1.25,8.025,18.666666666666668,49.666666666666664,61.46666666666667,34.1,28.566666666666663,60.1,71.66666666666667,41.9,8.733333333333333,39.233333333333334,51.26666666666667,26.233333333333334
