YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,DOMAINCAT,"APPLICATIONS in LB","APPLICATIONS in LB / ACRE / APPLICATION, AVG","APPLICATIONS in LB / ACRE / YEAR, AVG","APPLICATIONS in NUMBER, AVG","TREATED in PCT OF AREA PLANTED, AVG"
1999,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","16,200,000",18,20,1.1,7
1999,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","64,100,000",45,45,1,14
1999,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","304,000,000",102,103,1,28
1999,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","23,500,000",27,30,1.1,7
1999,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","103,500,000",55,55,1,17
1999,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","173,700,000",72,72,1,22
1999,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","18,700,000",20,20,1,13
1999,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","29,500,000",33,33,1,13
1999,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","54,500,000",58,58,1,13
2000,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","16,800,000",14,15,1,11
2000,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","77,500,000",47,47,1,16
2000,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","286,000,000",93,95,1,29
2000,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","81,000,000",49,49,1,15
2000,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","110,100,000",47,47,1,22
2000,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","138,000,000",59,59,1,22
2000,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","10,200,000",16,17,1,8
2000,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","24,100,000",34,35,1,9
2000,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","118,600,000",67,69,1,24
2001,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","42,800,000",37,40,1,10
2001,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","95,800,000",72,75,1,12
2001,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","250,500,000",105,105,1,22
2001,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","9,900,000",16,17,1.1,5
2001,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","47,900,000",45,48,1,9
2001,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","71,300,000",66,66,1,10
2001,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","15,300,000",16,16,1,13
2001,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","32,300,000",34,34,1,13
2001,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","41,500,000",48,48,1,12
2002,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","37,500,000",20,20,1,18
2002,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","143,100,000",54,54,1,25
2002,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","422,600,000",105,105,1,38
2002,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","9,300,000",26,26,1,3
2002,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","48,300,000",70,70,1,7
2002,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","163,700,000",120,127,1,12
2002,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","16,100,000",20,20,1,11
2002,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","34,200,000",38,38,1,12
2002,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","39,100,000",52,52,1,10
2004,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","49,500,000",22,36,1.6,14
2004,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","185,100,000",66,103,1.6,18
2004,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","525,200,000",103,164,1.6,32
2004,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","38,400,000",24,39,1.6,10
2004,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","99,800,000",58,90,1.5,11
2004,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","157,200,000",71,103,1.5,15
2004,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","41,300,000",17,30,1.7,19
2004,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","81,200,000",39,60,1.5,18
2004,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","85,600,000",46,76,1.6,16
2006,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","18,100,000",15,16,1.1,11
2006,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","96,000,000",53,58,1.1,16
2006,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","290,200,000",91,94,1,31
2006,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","10,800,000",14,14,1,7
2006,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","64,400,000",54,54,1,12
2006,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","172,600,000",85,85,1,20
2006,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (SULFUR)","900,000",7,7,1,1
2006,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","15,300,000",13,13,1,16
2006,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","53,200,000",40,40,1,18
2006,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","57,400,000",48,49,1,16
2012,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","44,700,000",24,26,1.1,19
2012,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","148,800,000",69,70,1,23
2012,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","387,500,000",107,109,1,39
2012,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (SULFUR)","8,600,000",22,25,1.2,4
2012,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","19,200,000",15,16,1,13
2012,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","134,500,000",55,55,1,26
2012,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","270,000,000",78,79,1,36
2012,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (SULFUR)","8,800,000",14,14,1,7
2012,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","24,000,000",11,13,1.1,27
2012,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","80,200,000",37,38,1,30
2012,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","101,000,000",52,54,1,27
2012,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (SULFUR)","4,400,000",9,10,1.2,6
2015,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","53,200,000",23,26,1.1,21
2015,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","190,300,000",66,69,1,28
2015,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","486,000,000",109,114,1,44
2015,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (SULFUR)","4,800,000",16,16,1,3
2015,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","32,100,000",21,21,1,15
2015,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","156,800,000",53,54,1,30
2015,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","264,300,000",84,84,1,32
2015,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (SULFUR)","7,300,000",14,14,1,5
2015,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","19,400,000",13,14,1.1,19
2015,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","102,700,000",49,50,1,27
2015,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","131,200,000",58,60,1,29
2015,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (SULFUR)","4,600,000",9,10,1.1,6
2017,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","63,800,000",22,24,1.1,25
2017,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","279,800,000",72,73,1,36
2017,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","713,600,000",123,127,1,53
2017,ILLINOIS,17,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (SULFUR)","7,400,000",13,13,1,5
2017,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","14,400,000",12,12,1,13
2017,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","145,000,000",62,62,1,23
2017,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","357,100,000",103,104,1,34
2017,IOWA,19,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (SULFUR)","8,100,000",13,13,1,6
2017,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (NITROGEN)","35,200,000",15,16,1.1,26
2017,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (PHOSPHATE)","95,000,000",40,41,1,28
2017,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (POTASH)","161,000,000",57,59,1,34
2017,MINNESOTA,27,"  ","   ",YEAR,SOYBEANS,"FERTILIZER: (SULFUR)","5,100,000",9,10,1.1,6
