"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2019","WEEK #41","2019-10-13","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, 5 YEAR AVG, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #41","2019-10-13","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #41","2019-10-13","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, PREVIOUS YEAR, MEASURED IN PCT","TOTAL","NOT SPECIFIED","14",""
"SURVEY","2019","WEEK #42","2019-10-20","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, 5 YEAR AVG, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #42","2019-10-20","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #42","2019-10-20","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, PREVIOUS YEAR, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #42","2019-10-20","STATE","MICHIGAN","26","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, MEASURED IN PCT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2019","WEEK #42","2019-10-20","STATE","MICHIGAN","26","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, PREVIOUS YEAR, MEASURED IN PCT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2019","WEEK #42","2019-10-20","STATE","OHIO","39","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, 5 YEAR AVG, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #42","2019-10-20","STATE","OHIO","39","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #42","2019-10-20","STATE","OHIO","39","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, PREVIOUS YEAR, MEASURED IN PCT","TOTAL","NOT SPECIFIED","14",""
"SURVEY","2019","WEEK #43","2019-10-27","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, 5 YEAR AVG, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #43","2019-10-27","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #43","2019-10-27","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, PREVIOUS YEAR, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #43","2019-10-27","STATE","MICHIGAN","26","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, MEASURED IN PCT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2019","WEEK #43","2019-10-27","STATE","MICHIGAN","26","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, PREVIOUS YEAR, MEASURED IN PCT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2019","WEEK #43","2019-10-27","STATE","OHIO","39","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, 5 YEAR AVG, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #43","2019-10-27","STATE","OHIO","39","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #43","2019-10-27","STATE","OHIO","39","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, PREVIOUS YEAR, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #44","2019-11-03","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, 5 YEAR AVG, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #44","2019-11-03","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, MEASURED IN PCT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2019","WEEK #44","2019-11-03","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, PREVIOUS YEAR, MEASURED IN PCT","TOTAL","NOT SPECIFIED","14",""
"SURVEY","2019","WEEK #44","2019-11-03","STATE","MICHIGAN","26","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, MEASURED IN PCT","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2019","WEEK #44","2019-11-03","STATE","MICHIGAN","26","","","","","","","00000000","","SOYBEANS","SOYBEANS, AT HARVEST - MOISTURE, PREVIOUS YEAR, MEASURED IN PCT","TOTAL","NOT SPECIFIED","15",""
