"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, AVOIDANCE","PRACTICE, AVOIDANCE: (CROP OR PLANT VARIETY CHOSEN FOR SPECIFIC PEST RESISTANCE)","44",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, AVOIDANCE","PRACTICE, AVOIDANCE: (PLANTING LOCATIONS PLANNED TO AVOID CROSS INFESTATION OF PESTS)","8",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, AVOIDANCE","PRACTICE, AVOIDANCE: (PLANTING OR HARVESTING DATES ADJUSTED)","18",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, AVOIDANCE","PRACTICE, AVOIDANCE: (ROTATED CROPS DURING PAST 3 YEARS)","52",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, AVOIDANCE","PRACTICE, AVOIDANCE: (ROW SPACING, PLANT DENSITY, OR ROW DIRECTIONS ADJUSTED)","12",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (DIAGNOSTIC LABORATORY SERVICES USED FOR PEST DETECTION VIA SOIL OR PLANT TISSUE ANALYSIS)","2",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (FIELD MAPPING DATA USED TO ASSIST DECISIONS)","9",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED - ESTABLISHED PROCESS USED)","38",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED - FOR PESTS DUE TO A PEST ADVISORY WARNING)","15",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED - FOR PESTS DUE TO A PEST DEVELOPMENT MODEL)","11",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED - FOR PESTS OR BENEFICIAL ORGANISMS - NOT SCOUTED)","7",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED - FOR PESTS OR BENEFICIAL ORGANISMS BY CONDUCTING GENERAL OBSERVATIONS WHILE PERFORMING ROUTINE TASKS)","13",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED - FOR PESTS OR BENEFICIAL ORGANISMS BY DELIBERATELY GOING TO THE CROP ACRES OR GROWING AREAS)","80",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY EMPLOYEE)","1",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY FARM SUPPLY COMPANY OR CHEMICAL DEALER)","19",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY INDEPENDENT CROP CONSULTANT OR COMMERICAL SCOUT)","59",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY OPERATOR, PARTNER, OR FAMILY MEMBER)","21",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES)","91",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY EMPLOYEE)","1",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY FARM SUPPLY COMPANY OR CHEMICAL DEALER)","19",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY INDEPENDENT CROP CONSULTANT OR COMMERICAL SCOUT)","59",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY OPERATOR, PARTNER, OR FAMILY MEMBER)","21",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES)","92",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY EMPLOYEE)","1",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY FARM SUPPLY COMPANY OR CHEMICAL DEALER)","19",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY INDEPENDENT CROP CONSULTANT OR COMMERICAL SCOUT)","59",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - PEST MGMT, MEASURED IN PCT OF AREA PLANTED","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY OPERATOR, PARTNER, OR FAMILY MEMBER)","21",""
