"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2019","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,727,069,000",""
"SURVEY","2019","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,457,069,000",""
"SURVEY","2019","FIRST OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,270,000,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","ALABAMA","01","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","ALABAMA","01","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","8,381,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","ALABAMA","01","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","ARIZONA","04","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","ARIZONA","04","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","29,215,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","COLORADO","08","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","COLORADO","08","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","DELAWARE","10","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","DELAWARE","10","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,412,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","DELAWARE","10","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","FLORIDA","12","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","FLORIDA","12","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","FLORIDA","12","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,743,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","IDAHO","16","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","IDAHO","16","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","491,983,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","276,983,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","215,000,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","200,837,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","90,837,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","110,000,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","420,241,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","225,241,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","195,000,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","KANSAS","20","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","134,849,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","KANSAS","20","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","102,849,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","KANSAS","20","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","32,000,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","KENTUCKY","21","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","KENTUCKY","21","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","17,685,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","KENTUCKY","21","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","LOUISIANA","22","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","LOUISIANA","22","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","9,398,000",""
"SURVEY","2019","FIRST OF MAR","","STATE","LOUISIANA","22","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","MARYLAND","24","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"SURVEY","2019","FIRST OF MAR","","STATE","MARYLAND","24","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","10,667,000",""
